<mgsvp;
ORDERED
<

ACT     MSCBC2                    AD-288  TIME 20250914 1324  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-48881109062            311        257
6-393358911006             6          6
4-491700600101             4          4
4-64816081144              4          4
4-37329899920              3          0
4-4567605055000            5          5
4-79184790017              7          3
4-558402001004             5          5
4-8638450500000            3          0
4-491700600316             7          7
4-639180008986             4          1
4-331914490144041          4          4
4-331911514420007         30         21
4-447955700244             5          5
6-905590000272             6          3
4-883330000008205          3          3
4-33609009916             36         29
4-444950170040             4          4
4-3319127820098            8          8
4-34047259037              3          0
4-973396001062              10          10
4-46707000233            104         90
4-79367494375              3          3
4-324750007315415          10          7
4-33191318540275           8          3
4-447782003260             3          3
4-491700800111             8          5
4-491700600137             7          4
4-55191905420557           5          2
4-447953700204            23         18
4-33191346070451          13          7
6-861562611000             6          6
6-691700600128             6          2
4-79639743354              3          3
4-447804004736             4          1
4-9595930074               4          4
4-882285000001110          5          0
4-863320038030             3          3
4-33191491720143          12         12
4-79367494338              3          3
4-66925010450              5          1
4-79167494224              5          5
4-79367494373              3          3
4-33111141117201411           11          7
4-447973700222             7          4
4-79167494188              4          4
6-79112009905              6          6
4-33393905420285           3          0
4-31624000281              7          7
4-39037029905              3          3
4-8614741040000            5          5
4-33660005330              3          3
4-46707000276              11          6
4-41650000057              4          4
4-8633564840000            3          3
4-994550000205             5          1
6-79167696201              6          3
4-3311114111720174           11          11
4-491700800180             8          5
4-994550000446             4          0
4-491700600507             5          5
4-33191411940001           4          4
4-34054729334              3          3
6-3319120120662            6          3
4-111118411005532             11          5
4-839170000337             8          2
4-8638363240000            3          3
4-9477000338               3          0
4-351960995064             4          4
4-3727098027               7          7
4-33191491720171           10          6
4-3748900088               7          4
6-919860011921             6          3
4-436990071206            12         12
4-33191790370077           7          7
6-691700600151             6          6
6-201059968073             6          3
4-905590000233             3          3
4-447953700434             4          4
4-33191905440193           4          1
4-48602003040             13         13
4-447953700212            15         12
4-8633452430000            3          3
4-48601000068              5          5
4-21650000050              5          5
4-254722500119             10          7
4-351960995064             9          5
4-33689008888             18         12
4-56982999055              5          1
4-821080010585             11          7
4-491700800138             8          8
4-8635334930000            3          3
4-436760184443             4          0
4-639180009001             4          0
4-639170000369            15          4
4-919893581560             4          4
4-839066539778             3          3
4-8633436470000            3          0
4-32085978686              3          3
4-79014951192              5          5
4-33393336540267           3          3
4-33393229970037           3          3
4-201059968205             5          2
4-48881109022             30         22
6-33191691720130           6          6
4-8613441764               4          4
4-38641003602              7          3
4-331919687700003          7          7
4-447782000248             3          0
4-639380008992             3          3
4-66923036504              3          3
4-8613774450000            4          4
4-16155000212              5          2
4-77050000030              3          0
4-3319141050101010           10          1
4-48601000067              4          0
4-39039326968              3          0
4-639380009005             3          0
4-12085978677              5          5
4-861476741000             4          4
4-3745509930               4          4
4-551915756910002          5          5
4-4237902670              77          1
4-79184790003              7          4
4-33689008064              4          1
4-331912290195042          10          6
4-3319120120713            7          7
4-33191491720141           10          7
4-13603399696             21          1
4-3113533000026             11          6
6-667953700229             6          6
6-66705003206              6          6
4-447559499030           286        257
4-77050000026              5          5
4-33393336540366           3          0
4-21650000098         829177     783715
4-33191491920124           9          9
4-212661000746            37         29
4-863854933000             3          3
4-14054749441              4          4
4-8639836540000            3          3
4-48601000071              5          5
4-33191306940031          16         10
6-3319120120509            6          3
4-55191245950050           5          2
4-34054729342              3          0
4-33393905420392           3          3
4-33689008256            197        158
4-447953700210            16         11
6-12606692661              6          3
4-905590000255             5          2
4-863960343474             3          3
4-378447981200             7          7
6-6281107166               6          2
4-8190542119851            9          6
4-937036075020             3          0
4-31624000282              11          8
4-919895000041             8          4
4-491760003004             10          6
4-491700600133            13          9
4-14054729555              5          5
6-691700600118             6          6
4-447953700439             4          4
4-447784000444             4          4
4-79016481192             20         16
4-905590000448             4          4
4-254922500121             9          6
4-32404492443              3          3
4-32475002529              3          3
4-3319120120434            9          9
4-22899999965              9          5
4-33689002900             29         20
4-863958464000             3          3
4-447953700441             4          4
4-79444900444              4          4
6-691700600166             6          2
4-8633460450000            3          3
4-97455589703              3          3
4-882285000001112          5          0
4-48601000064              4          4
4-79367494228              3          3
4-861300013103             4          0
4-201059968085             5          1
4-447782000115             5          5
6-691700600109             6          3
4-34047259009              3          3
4-33653099570              3          0
4-456760182221             5          5
4-331914290197028         14         14
4-447953700206            17         14
4-66925015522              5          1
4-447804004461             4          4
4-358508771123             8          8
4-33393905420394           3          3
