<mgsvp;
ORDERED
<

ACT     MSCBC2                    AD-288  TIME 20250920 1324  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-917020075020             4          4
4-639280009027             2          0
4-27874022206              2          0
4-254733000490             2          2
4-550029202207             2          0
4-8623400060000            2          2
4-8625022040000            2          2
4-3329222420022            2          2
4-29039326942              2          2
4-8623442759               2          2
4-862958467000             2          2
4-358508771130             3          3
4-79772539033              2          2
4-8290542223860            2          2
4-29039326957              2          0
4-96475209002935           2          2
4-550222202065             2          0
4-33292346070624           2          0
4-48602000060              2          0
4-862595800000             2          2
4-79267494206              2          2
4-79267494209              2          2
4-79267494250              2          2
4-34633996730              3          1
4-8624778740000            2          2
4-33292905420356           2          2
4-492700600262             2          2
4-79232520204              2          2
4-8623820220000            2          2
4-79284790006              2          2
4-8290542222862            2          2
4-33292905420266           2          2
4-24054729290              2          2
4-59899999962              2          2
4-33292905420285           2          2
4-862309057602             2          2
4-33292905420282           2          2
4-37069899885              2          2
4-33292346070625           2          2
4-79267494274              2          2
4-52295599366              2          2
4-959790000057             2          2
4-4367603036000            2          2
4-8623522240000            2          2
4-24054729326              2          2
4-436677700202             2          0
4-24054729228              2          2

TOTNSUB
1691532

TOTNSUBA
1593286

NSUBPR
0

NSUBXP
0

NSUBPXOU
1691532

NSUBSGS
1092542

NSUBGS
0

END

