<mgsvp;
ORDERED
<

ACT     MSCBC2                    AD-288  TIME 20250923 1324  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-07874000006              0          0
4-254733000490             0          0
4-550029002207             0          0
4-8603400060000            0          0
4-8605020040000            0          0
4-3309002420000            0          0
4-09039326942              0          0
4-8603440759               0          0
4-860958467000             0          0
4-358508771110             1          1
4-79772539033              0          0
4-8090542003860            0          0
4-09039326957              0          0
4-96475209000935           0          0
4-550002002065             0          0
4-33090346070624           0          0
4-48600000060              0          0
4-860595800000             0          0
4-79067494006              0          0
4-79067494009              0          0
4-79067494250              0          0
4-34611996730              1          1
4-8604778740000            0          0
4-33090905420356           0          0
4-490700600060             0          0
4-79232500004              0          0
4-8603800200000            0          0
4-79084790006              0          0
4-8090542002862            0          0
4-33090905420066           0          0
4-04054729090              0          0
4-59899999960              0          0
4-33090905420085           0          0
4-860309057600             0          0
4-33090905420080           0          0
4-37069899885              0          0
4-33090346070625           0          0
4-79067494074              0          0
4-50095599366              0          0
4-959790000057             0          0
4-4367603036000            0          0
4-8603502040000            0          0
4-04054729306              0          0
4-436677700000             0          0
4-04054729208              0          0

TOTNSUB
1691532

TOTNSUBA
1593286

NSUBPR
0

NSUBXP
0

NSUBPXOU
1691532

NSUBSGS
1092542

NSUBGS
0

END

