Country_x,Operator_x,Brand_x,PLMN_x,tech_2g,tech_3g,tech_lte,operator_name_upper,country_upper,MCC,MNC,PLMN_y,Region,Country_y,ISO,Operator_y,Brand_y,TADIG,Bands,brand_upper
Canada,SaskTel,,,,X,X,SASKTEL,CANADA,302.0,750.0,302750.0,North America and the Caribbean,Canada,CA,SaskTel Mobility,SaskTel,,,SASKTEL
Canada,Telus,,,,X,X,TELUS,CANADA,302.0,221.0,302221.0,North America and the Caribbean,Canada,CA,Telus Mobility,Telus,,,TELUS
Canada,Telus,,,,X,X,TELUS,CANADA,302.0,222.0,302222.0,North America and the Caribbean,Canada,CA,Telus Mobility,Telus,,,TELUS
Canada,Telus,,,,X,X,TELUS,CANADA,302.0,361.0,302361.0,North America and the Caribbean,Canada,CA,Telus Mobility,Telus,,CDMA 800 / CDMA 1900,TELUS
Canada,Telus,,,,X,X,TELUS,CANADA,302.0,653.0,302653.0,North America and the Caribbean,Canada,CA,Telus Mobility,Telus,,CDMA 800 / CDMA 1900,TELUS
Canada,Telus,,,,X,X,TELUS,CANADA,302.0,657.0,302657.0,North America and the Caribbean,Canada,CA,Telus Mobility,Telus,,CDMA 800 / CDMA 1900,TELUS
Canada,Telus,,,,X,X,TELUS,CANADA,302.0,860.0,302860.0,North America and the Caribbean,Canada,CA,Telus Mobility,Telus,,,TELUS
Canada,Vidéotron,,,,X,X,VIDÉOTRON,CANADA,,,,,,,,,,,
Cape Verde,CV Móvel,,,X,X,,CV MÓVEL,CAPE VERDE,,,,,,,,,,,
Cape Verde,T-MAIS,,,X,,,T-MAIS,CAPE VERDE,,,,,,,,,,,
Cayman Islands,Digicel,,,X,X,X,DIGICEL,CAYMAN ISLANDS,,,,,,,,,,,
Cayman Islands,FLOW Cayman,,,X,X,X,FLOW CAYMAN,CAYMAN ISLANDS,,,,,,,,,,,
Central African Republic,Moov Africa,,,X,,,MOOV AFRICA,CENTRAL AFRICAN REPUBLIC,,,,,,,,,,,
Central African Republic,azur,,,X,,,AZUR,CENTRAL AFRICAN REPUBLIC,623.0,4.0,62304.0,Africa,Central African Republic,CF,Azur RCA,Azur,,GSM 900 / UMTS 2100,AZUR
Central African Republic,telecel,,,X,,,TELECEL,CENTRAL AFRICAN REPUBLIC,,,,,,,,,,,
Chad,Moov,,,X,X,X,MOOV,CHAD,,,,,,,,,,,
Chile,Claro,,,X,X,X,CLARO,CHILE,,,,,,,,,,,
Chile,Entel,,,X,X,X,ENTEL,CHILE,730.0,10.0,73010.0,South and Central America,Chile,CL,Entel Telefonía Móvil S.A.,entel,,GSM 1900 / UMTS 1900,ENTEL
Chile,GTD/Telsur Móvil,,,,,,GTD/TELSUR MÓVIL,CHILE,,,,,,,,,,,
Chile,Movistar,,,X,X,X,MOVISTAR,CHILE,730.0,7.0,73007.0,South and Central America,Chile,CL,Telefónica Móvil de Chile,movistar,,,MOVISTAR
Chile,Mundo Móvil,,,,,,MUNDO MÓVIL,CHILE,,,,,,,,,,,
Chile,VTR Móvil,,,,,,VTR MÓVIL,CHILE,730.0,8.0,73008.0,South and Central America,Chile,CL,VTR S.A.,VTR Móvil,,MVNO,VTR MÓVIL
Chile,Virgin Mobile,,,,,,VIRGIN MOBILE,CHILE,730.0,13.0,73013.0,South and Central America,Chile,CL,Tribe Mobile Chile SPA,Virgin Mobile,,MVNO,VIRGIN MOBILE
Chile,WOM,,,,X,X,WOM,CHILE,730.0,4.0,73004.0,South and Central America,Chile,CL,Novator Partners,WOM,,iDEN 800,WOM
Chile,WOM,,,,X,X,WOM,CHILE,730.0,9.0,73009.0,South and Central America,Chile,CL,Novator Partners,WOM,,UMTS 1700 / LTE 1700,WOM
China (mainland),China Broadnet,,,,,X,CHINA BROADNET,CHINA (MAINLAND),,,,,,,,,,,
China (mainland),China Mobile,,,X,,X,CHINA MOBILE,CHINA (MAINLAND),,,,,,,,,,,
China (mainland),China Telecom,,,,,X,CHINA TELECOM,CHINA (MAINLAND),,,,,,,,,,,
China (mainland),China Unicom,,,,X,X,CHINA UNICOM,CHINA (MAINLAND),,,,,,,,,,,
Colombia,ETB,,,,X,X,ETB,COLOMBIA,732.0,187.0,732187.0,South and Central America,Colombia,CO,Empresa de Telecomunicaciones de Bogotá S.A. ESP,eTb,,LTE 1700,ETB
Colombia,Flash Móvil,,,,X,X,FLASH MÓVIL,COLOMBIA,,,,,,,,,,,
Colombia,Movistar,,,,X,X,MOVISTAR,COLOMBIA,732.0,1.0,732001.0,South and Central America,Colombia,CO,Colombia Telecomunicaciones S.A. ESP,movistar,,,MOVISTAR
Colombia,Móvil Éxito,,,,X,X,MÓVIL ÉXITO,COLOMBIA,,,,,,,,,,,
Colombia,Suma Móvil,,,,X,X,SUMA MÓVIL,COLOMBIA,,,,,,,,,,,
Colombia,Tigo,,,,X,X,TIGO,COLOMBIA,732.0,103.0,732103.0,South and Central America,Colombia,CO,Colombia Móvil S.A. ESP,Tigo,,GSM 1900 / UMTS 2100 / LTE 1700 / LTE 2600,TIGO
Colombia,Tigo,,,,X,X,TIGO,COLOMBIA,732.0,20.0,732020.0,South and Central America,Colombia,CO,Une EPM Telecomunicaciones S.A. E.S.P.,Tigo,,LTE 2600,TIGO
Colombia,Virgin Mobile,,,,X,X,VIRGIN MOBILE,COLOMBIA,732.0,154.0,732154.0,South and Central America,Colombia,CO,Virgin Mobile Colombia S.A.S.,Virgin Mobile,,MVNO,VIRGIN MOBILE
Colombia,WOM,,,,X,X,WOM,COLOMBIA,,,,,,,,,,,
Comoros,Telma,,,X,,X,TELMA,COMOROS,,,,,,,,,,,
Congo,Airtel,,,X,X,X,AIRTEL,CONGO,629.0,7.0,62907.0,Africa,Congo,CG,Warid Telecom,Airtel,,GSM 900,AIRTEL
Congo,Azur,,,X,,,AZUR,CONGO,,,,,,,,,,,
Congo,MTN,,,X,X,X,MTN,CONGO,,,,,,,,,,,
Cook Islands,Vodafone,,,X,X,X,VODAFONE,COOK ISLANDS,,,,,,,,,,,
Costa Rica,Fullmóvil,,,X,X,,FULLMÓVIL,COSTA RICA,712.0,20.0,71220.0,South and Central America,Costa Rica,CR,Virtualis S.A.,fullmóvil,,MVNO,FULLMÓVIL
Costa Rica,Kölbi,,,X,X,X,KÖLBI,COSTA RICA,,,,,,,,,,,
Costa Rica,Liberty,,,X,X,X,LIBERTY,COSTA RICA,,,,,,,,,,,
Costa Rica,Tuyo Móvil,,,X,X,,TUYO MÓVIL,COSTA RICA,,,,,,,,,,,
Croatia,Hrvatski Telekom,,21901,X,,X,HRVATSKI TELEKOM,CROATIA,,,,,,,,,,,
Croatia,Telemach,,21902,X,X,X,TELEMACH,CROATIA,,,,,,,,,,,
Curaçao,Digicel,,,X,X,X,DIGICEL,CURAÇAO,,,,,,,,,,,
Curaçao,FLOW,,,X,X,X,FLOW,CURAÇAO,,,,,,,,,,,
Czech Republic,O 2,,23002,X,,X,O 2,CZECH REPUBLIC,,,,,,,,,,,
Czech Republic,Vodafone,,23003,X,,X,VODAFONE,CZECH REPUBLIC,230.0,99.0,23099.0,Europe,Czech Republic,CZ,Vodafone Czech Republic,Vodafone,,GSM 1800,VODAFONE
Democratic Republic of the Congo,Orange,,,X,X,,ORANGE,DEMOCRATIC REPUBLIC OF THE CONGO,,,,,,,,,,,
Democratic Republic of the Congo,SemaTel,,,X,,,SEMATEL,DEMOCRATIC REPUBLIC OF THE CONGO,,,,,,,,,,,
Democratic Republic of the Congo,Smile,,,,,X,SMILE,DEMOCRATIC REPUBLIC OF THE CONGO,,,,,,,,,,,
Democratic Republic of the Congo,Supercell,,,X,,,SUPERCELL,DEMOCRATIC REPUBLIC OF THE CONGO,630.0,5.0,63005.0,Africa,Democratic Republic of the Congo,CD,Supercell SPRL,Supercell,,GSM 900 / GSM 1800,SUPERCELL
Democratic Republic of the Congo,U-Com,,,,,,U-COM,DEMOCRATIC REPUBLIC OF THE CONGO,,,,,,,,,,,
Denmark,TDC,,23801,X,X,X,TDC,DENMARK,238.0,10.0,23810.0,Europe,Denmark,DK,TDC A/S,TDC,,,TDC
Denmark,Telenor,,23802,X,X,X,TELENOR,DENMARK,238.0,77.0,23877.0,Europe,Denmark,DK,Telenor Denmark,Telenor,,GSM 900 / GSM 1800,TELENOR
Denmark,Telia,,23820,X,,X,TELIA,DENMARK,238.0,96.0,23896.0,Europe,Denmark,DK,Telia Danmark,Telia,,,TELIA
Dominica,Digicel,,,X,X,X,DIGICEL,DOMINICA,366.0,20.0,366020.0,North America and the Caribbean,Dominica,DM,Digicel Group Limited,Digicel,,GSM 900 / GSM 1900 / UMTS 900 / UMTS 1800 / UMTS 1900 / LTE 700,DIGICEL
Dominican Republic,Viva,,,X,,,VIVA,DOMINICAN REPUBLIC,370.0,4.0,37004.0,North America and the Caribbean,Dominican Republic,DO,"Trilogy Dominicana, S.A.",Viva,,CDMA 1900 / GSM 1900,VIVA
Dominican Republic,altice,,,X,X,X,ALTICE,DOMINICAN REPUBLIC,370.0,1.0,37001.0,North America and the Caribbean,Dominican Republic,DO,Altice Group,Altice,,GSM 900 / GSM 1800 / GSM 1900 / UMTS 900 / LTE 1800,ALTICE
Dominican Republic,altice,,,X,X,X,ALTICE,DOMINICAN REPUBLIC,370.0,3.0,37003.0,North America and the Caribbean,Dominican Republic,DO,Altice Group,Altice,,AMPS / CDMA 850,ALTICE
Ecuador,Cnt,,,X,X,X,CNT,ECUADOR,,,,,,,,,,,
Ecuador,Tuenti,,,,,,TUENTI,ECUADOR,740.0,3.0,74003.0,South and Central America,Ecuador,EC,Otecel S.A.,Tuenti,,MVNO,TUENTI
Egypt,Vodafone Egypt,,,X,X,X,VODAFONE EGYPT,EGYPT,,,,,,,,,,,
Egypt,We,,,X,X,X,WE,EGYPT,602.0,4.0,60204.0,Africa,Egypt,EG,Telecom Egypt,WE,,LTE 1800,WE
El Salvador,RED,,,,,,RED,EL SALVADOR,706.0,5.0,70605.0,South and Central America,El Salvador,SV,"INTELFON, S.A. de C.V.",RED,,iDEN,RED
Equatorial Guinea,Gecomsa,,,,,,GECOMSA,EQUATORIAL GUINEA,,,,,,,,,,,
Equatorial Guinea,Orange,,,X,,,ORANGE,EQUATORIAL GUINEA,,,,,,,,,,,
