Country_x,Operator_x,Brand_x,PLMN_x,tech_2g,tech_3g,tech_lte,operator_name_upper,country_upper,MCC,MNC,PLMN_y,Region,Country_y,ISO,Operator_y,Brand_y,TADIG,Bands,brand_upper
Mauritania,Chinguitel,,,X,X,,CHINGUITEL,MAURITANIA,609.0,2.0,60902.0,Africa,Mauritania,MR,Chinguitel,Chinguitel,,GSM 900 / GSM 1800 / UMTS 2100,CHINGUITEL
Mauritania,Moov Mauritel,,,X,X,X,MOOV MAURITEL,MAURITANIA,,,,,,,,,,,
Mauritius,Mauritius Telecom,,,X,X,X,MAURITIUS TELECOM,MAURITIUS,,,,,,,,,,,
Mexico,AT&T Mexico,,,,X,X,AT&T MEXICO,MEXICO,,,,,,,,,,,
Mexico,Cierto,,,X,X,,CIERTO,MEXICO,,,,,,,,,,,
Mexico,Flash Mobile,,,X,X,X,FLASH MOBILE,MEXICO,,,,,,,,,,,
Mexico,Maz Tiempo,,,X,X,,MAZ TIEMPO,MEXICO,,,,,,,,,,,
Mexico,Oui Móvil,,,X,X,X,OUI MÓVIL,MEXICO,,,,,,,,,,,
Mexico,QBO Cel,,,X,X,,QBO CEL,MEXICO,,,,,,,,,,,
Mexico,Red Compartida,,,,,X,RED COMPARTIDA,MEXICO,,,,,,,,,,,
Mexico,Virgin Mobile,,,X,X,X,VIRGIN MOBILE,MEXICO,,,,,,,,,,,
Mexico,weex,,,X,X,X,WEEX,MEXICO,,,,,,,,,,,
"Micronesia, Federated States of",FSM Telecom,,,X,X,,FSM TELECOM,"MICRONESIA, FEDERATED STATES OF",,,,,,,,,,,
Moldova,Interdnestrcom operating in Transnistria region only,,25906,,,X,INTERDNESTRCOM OPERATING IN TRANSNISTRIA REGION ONLY,MOLDOVA,,,,,,,,,,,
Moldova,Moldtelecom,,"25903,25905,25999",,X,X,MOLDTELECOM,MOLDOVA,,,,,,,,,,,
Monaco,Monaco Telecom,,21210,X,X,X,MONACO TELECOM,MONACO,,,,,,,,,,,
Mongolia,G-Mobile,,,,X,,G-MOBILE,MONGOLIA,428.0,98.0,42898.0,Asia and the Middle East,Mongolia,MN,G-Mobile LLC,G-Mobile,,CDMA2000 450 / UMTS 2100,G-MOBILE
Mongolia,Skytel,,,,X,,SKYTEL,MONGOLIA,428.0,91.0,42891.0,Asia and the Middle East,Mongolia,MN,Skytel LLC,Skytel,,CDMA2000 800 / UMTS 2100,SKYTEL
Montenegro,Crnogorski Telekom,,29702,X,,X,CRNOGORSKI TELEKOM,MONTENEGRO,,,,,,,,,,,
Montenegro,One Montenegro,,29701,X,X,X,ONE MONTENEGRO,MONTENEGRO,,,,,,,,,,,
Montenegro,m:tel,,29703,X,X,X,M:TEL,MONTENEGRO,,,,,,,,,,,
Montserrat,Digicel,,,X,X,X,DIGICEL,MONTSERRAT,,,,,,,,,,,
Montserrat,FLOW,,,X,X,,FLOW,MONTSERRAT,,,,,,,,,,,
Morocco,Maroc Telecom,,,X,X,X,MAROC TELECOM,MOROCCO,,,,,,,,,,,
Morocco,inwi,,,X,X,X,INWI,MOROCCO,604.0,5.0,60405.0,Africa,Morocco,MA,Wana Corporate,INWI,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,INWI
Mozambique,Tmcel,,,X,X,,TMCEL,MOZAMBIQUE,,,,,,,,,,,
Myanmar,ATOM,,,X,X,X,ATOM,MYANMAR,,,,,,,,,,,
Myanmar,MPT,,,X,X,X,MPT,MYANMAR,414.0,0.0,41400.0,Asia and the Middle East,Myanmar,MM,Myanmar Posts and Telecommunications,MPT,,,MPT
Myanmar,MPT,,,X,X,X,MPT,MYANMAR,414.0,2.0,41402.0,Asia and the Middle East,Myanmar,MM,Myanmar Posts and Telecommunications,MPT,,,MPT
Myanmar,MPT,,,X,X,X,MPT,MYANMAR,414.0,4.0,41404.0,Asia and the Middle East,Myanmar,MM,Myanmar Posts and Telecommunications,MPT,,,MPT
Myanmar,Mytel,,,X,,X,MYTEL,MYANMAR,414.0,9.0,41409.0,Asia and the Middle East,Myanmar,MM,"Myanmar National Tele & Communication Co., Ltd",Mytel,,GSM 900 / UMTS 900 / UMTS 2100 / LTE 900 / LTE 2100,MYTEL
Nauru,Digicel,,,X,X,X,DIGICEL,NAURU,536.0,2.0,53602.0,Oceania,Nauru,NR,Digicel (Nauru) Corporation,Digicel,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,DIGICEL
Nepal,Nepal Telecom,,,X,X,X,NEPAL TELECOM,NEPAL,,,,,,,,,,,
Nepal,SmartCell,,,X,,X,SMARTCELL,NEPAL,429.0,4.0,42904.0,Asia and the Middle East,Nepal,NP,Smart Telecom Pvt. Ltd. (STPL),SmartCell,,GSM 900 / LTE 1800,SMARTCELL
Netherlands,KPN,,20408,X,,X,KPN,NETHERLANDS,204.0,10.0,20410.0,Europe,Netherlands,NL,KPN B.V.,KPN,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,KPN
New Caledonia,Mobilis,,,X,X,X,MOBILIS,NEW CALEDONIA,,,,,,,,,,,
New Zealand,Compass Mobile,,,,X,X,COMPASS MOBILE,NEW ZEALAND,,,,,,,,,,,
New Zealand,Contact Mobile,,,X,X,X,CONTACT MOBILE,NEW ZEALAND,,,,,,,,,,,
New Zealand,Kiwi Mobile,,,,X,X,KIWI MOBILE,NEW ZEALAND,,,,,,,,,,,
New Zealand,Kogan Mobile,,,X,X,X,KOGAN MOBILE,NEW ZEALAND,,,,,,,,,,,
New Zealand,Mighty Mobile,,,X,X,X,MIGHTY MOBILE,NEW ZEALAND,,,,,,,,,,,
New Zealand,One NZ,,,X,X,X,ONE NZ,NEW ZEALAND,,,,,,,,,,,
New Zealand,Rocket Mobile,,,X,X,X,ROCKET MOBILE,NEW ZEALAND,,,,,,,,,,,
New Zealand,Skinny,,,,X,X,SKINNY,NEW ZEALAND,530.0,6.0,53006.0,Oceania,New Zealand,NZ,Spark New Zealand,Skinny,,MVNO,SKINNY
New Zealand,Slingshot Mobile,,,,X,X,SLINGSHOT MOBILE,NEW ZEALAND,,,,,,,,,,,
New Zealand,Warehouse Mobile,,,,X,X,WAREHOUSE MOBILE,NEW ZEALAND,,,,,,,,,,,
Nicaragua,Tigo,,,X,X,X,TIGO,NICARAGUA,,,,,,,,,,,
Niger,Moov Africa Niger,,,X,,,MOOV AFRICA NIGER,NIGER,,,,,,,,,,,
Niger,Niger Telecoms,,,X,,,NIGER TELECOMS,NIGER,,,,,,,,,,,
Niger,Zamani Telecom,,,X,X,,ZAMANI TELECOM,NIGER,,,,,,,,,,,
Nigeria,Glo Mobile,,,X,X,X,GLO MOBILE,NIGERIA,,,,,,,,,,,
Niue,Telecom Niue,,,X,,X,TELECOM NIUE,NIUE,555.0,1.0,55501.0,Oceania,Niue,NU,Telecom Niue,Telecom Niue,,GSM 900 / LTE 700,TELECOM NIUE
Norfolk Island,Norfolk Telecom,,,,X,X,NORFOLK TELECOM,NORFOLK ISLAND,505.0,10.0,50510.0,Oceania,Norfolk Island,NF,Norfolk Telecom,Norfolk Telecom,,GSM 900 / LTE 1800,NORFOLK TELECOM
North Korea,Kangsong NET,,,,X,X,KANGSONG NET,NORTH KOREA,,,,,,,,,,,
North Korea,Koryolink,,,,X,,KORYOLINK,NORTH KOREA,467.0,5.0,46705.0,Asia and the Middle East,North Korea,KP,Cheo Technology Jv Company,Koryolink,,UMTS 2100,KORYOLINK
North Korea,Koryolink,,,,X,,KORYOLINK,NORTH KOREA,467.0,6.0,46706.0,Asia and the Middle East,North Korea,KP,Cheo Technology Jv Company,Koryolink,,UMTS 2100,KORYOLINK
North Macedonia,A1,,29403,X,X,X,A1,NORTH MACEDONIA,,,,,,,,,,,
North Macedonia,Telekom,,29401,X,X,X,TELEKOM,NORTH MACEDONIA,,,,,,,,,,,
Northern Mariana Islands,Docomo Pacific,,,X,X,X,DOCOMO PACIFIC,NORTHERN MARIANA ISLANDS,,,,,,,,,,,
Northern Mariana Islands,IT&E,,,X,X,X,IT&E,NORTHERN MARIANA ISLANDS,,,,,,,,,,,
Norway,Ice,,"24214, 24206",,,X,ICE,NORWAY,242.0,14.0,24214.0,Europe,Norway,NO,ICE Communication Norge AS,ice,,GSM 900 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800,ICE
Norway,Ice,,"24214, 24206",,,X,ICE,NORWAY,242.0,6.0,24206.0,Europe,Norway,NO,ICE Norge AS,ice,,LTE 450,ICE
Norway,Telenor,,24201,X,,X,TELENOR,NORWAY,242.0,12.0,24212.0,Europe,Norway,NO,Telenor Norge AS,Telenor,,,TELENOR
Norway,Telia,,24202,X,,X,TELIA,NORWAY,242.0,2.0,24202.0,Europe,Norway,NO,Telia Norge AS,Telia,,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,TELIA
Oman,Omantel,,,X,X,X,OMANTEL,OMAN,422.0,4.0,42204.0,Asia and the Middle East,Oman,OM,Oman Telecommunications Company,Omantel,,,OMANTEL
Palau,PalauCel,,552-01,,X,X,PALAUCEL,PALAU,,,,,,,,,,,
Palestine,Ooredoo,,,X,X,,OOREDOO,PALESTINE,,,,,,,,,,,
Panama,+móvil,,,X,X,X,+MÓVIL,PANAMA,,,,,,,,,,,
Panama,Tigo,,,X,X,X,TIGO,PANAMA,,,,,,,,,,,
Papua New Guinea,Telikom PNG,,,X,,X,TELIKOM PNG,PAPUA NEW GUINEA,,,,,,,,,,,
Peru,ASU MOBILE,,,X,X,X,ASU MOBILE,PERU,,,,,,,,,,,
Peru,Cuy Móvil,,,,,,CUY MÓVIL,PERU,,,,,,,,,,,
Peru,Entel,,,,X,X,ENTEL,PERU,716.0,7.0,71607.0,South and Central America,Peru,PE,Entel Perú S.A.,Entel,,iDEN,ENTEL
Peru,Entel,,,,X,X,ENTEL,PERU,716.0,17.0,71617.0,South and Central America,Peru,PE,Entel Perú S.A.,Entel,,UMTS 1900 / LTE 1700 / TD-LTE 2300,ENTEL
Peru,UNION TELECOM,,,X,X,X,UNION TELECOM,PERU,,,,,,,,,,,
Poland,Orange,,26003,X,X,X,ORANGE,POLAND,260.0,5.0,26005.0,Europe,Poland,PL,Polska Telefonia Komórkowa Centertel Sp. z o.o.,Orange,,UMTS 2100,ORANGE
Poland,Play,,26006,X,X,X,PLAY,POLAND,260.0,98.0,26098.0,Europe,Poland,PL,P4 Sp. z o.o.,Play,,LTE 1800,PLAY
Poland,T-Mobile,,26002,X,,X,T-MOBILE,POLAND,260.0,10.0,26010.0,Europe,Poland,PL,T-Mobile Polska S.A.,T-Mobile,,,T-MOBILE
Portugal,DIGI,,26802,,,,DIGI,PORTUGAL,,,,,,,,,,,
Portugal,MEO,,26806,X,X,X,MEO,PORTUGAL,268.0,2.0,26802.0,Europe,Portugal,PT,Telecomunicações Móveis Nacionais,MEO,,,MEO
Portugal,MEO,,26806,X,X,X,MEO,PORTUGAL,268.0,80.0,26880.0,Europe,Portugal,PT,Telecomunicações Móveis Nacionais,MEO,,,MEO
Portugal,Vodafone,,26801,X,X,X,VODAFONE,PORTUGAL,268.0,91.0,26891.0,Europe,Portugal,PT,Vodafone Portugal,Vodafone,,,VODAFONE
Puerto Rico and United States Virgin Islands,Claro,,,X,X,X,CLARO,PUERTO RICO AND UNITED STATES VIRGIN ISLANDS,,,,,,,,,,,
Puerto Rico and United States Virgin Islands,Liberty,,,,X,X,LIBERTY,PUERTO RICO AND UNITED STATES VIRGIN ISLANDS,,,,,,,,,,,
Puerto Rico and United States Virgin Islands,T-Mobile,,,,,,T-MOBILE,PUERTO RICO AND UNITED STATES VIRGIN ISLANDS,,,,,,,,,,,
Puerto Rico and United States Virgin Islands,TracFone Wireless,,,X,,,TRACFONE WIRELESS,PUERTO RICO AND UNITED STATES VIRGIN ISLANDS,,,,,,,,,,,
Romania,Digi,,22605,X,,X,DIGI,ROMANIA,,,,,,,,,,,
Rwanda,MTN Rwanda,,,X,X,X,MTN RWANDA,RWANDA,,,,,,,,,,,
Rwanda,Rwandatel,,,X,X,,RWANDATEL,RWANDA,635.0,11.0,63511.0,Africa,Rwanda,RW,Rwandatel S.A.,Rwandatel,,CDMA,RWANDATEL
Rwanda,Rwandatel,,,X,X,,RWANDATEL,RWANDA,635.0,12.0,63512.0,Africa,Rwanda,RW,Rwandatel S.A.,Rwandatel,,GSM,RWANDATEL
Réunion,FREE,,,X,X,,FREE,RÉUNION,,,,,,,,,,,
Réunion,Orange,,,X,X,X,ORANGE,RÉUNION,,,,,,,,,,,
Réunion,SFR,,,X,X,X,SFR,RÉUNION,,,,,,,,,,,
Saint Helena,Sure,,,X,,X,SURE,SAINT HELENA,,,,,,,,,,,
Saint Kitts and Nevis,Digicel,,,X,X,,DIGICEL,SAINT KITTS AND NEVIS,356.0,50.0,356050.0,North America and the Caribbean,Saint Kitts and Nevis,KN,Wireless Ventures (St Kitts-Nevis) Limited,Digicel,,GSM 900 / GSM 1800 / LTE 700,DIGICEL
Saint Lucia,NTRC,,,X,X,X,NTRC,SAINT LUCIA,,,,,,,,,,,
Saint Lucia,SLICTA,,,X,X,X,SLICTA,SAINT LUCIA,,,,,,,,,,,
Saint Vincent and the Grenadines,Bouygues,,,X,X,,BOUYGUES,SAINT VINCENT AND THE GRENADINES,,,,,,,,,,,
Saint Vincent and the Grenadines,Digicel,,,X,X,,DIGICEL,SAINT VINCENT AND THE GRENADINES,360.0,50.0,360050.0,North America and the Caribbean,Saint Vincent and the Grenadines,VC,Digicel (St. Vincent and the Grenadines) Limited,Digicel,,GSM 900 / GSM 1800 / GSM 1900 / LTE 700,DIGICEL
Samoa,Digicel,,,X,X,X,DIGICEL,SAMOA,549.0,1.0,54901.0,Oceania,Samoa,WS,Digicel Pacific Ltd.,Digicel,,GSM 900 / UMTS 2100 / LTE 1800,DIGICEL
Samoa,Vodafone Samoa,,,X,,X,VODAFONE SAMOA,SAMOA,,,,,,,,,,,
San Marino,Prima,,29201,X,X,,PRIMA,SAN MARINO,292.0,1.0,29201.0,Europe,San Marino,SM,San Marino Telecom,PRIMA,,GSM 900 / GSM 1800 / UMTS 2100,PRIMA
San Marino,TIM San Marino,,22201,X,X,X,TIM SAN MARINO,SAN MARINO,,,,,,,,,,,
San Marino,Telefonia Mobile Sammarinese,,22201,X,X,X,TELEFONIA MOBILE SAMMARINESE,SAN MARINO,,,,,,,,,,,
Saudi Arabia,Lebara Mobile KSA,,,X,X,X,LEBARA MOBILE KSA,SAUDI ARABIA,,,,,,,,,,,
Saudi Arabia,Virgin mobile KSA,,,X,X,X,VIRGIN MOBILE KSA,SAUDI ARABIA,,,,,,,,,,,
Saudi Arabia,Zain,,,X,X,X,ZAIN,SAUDI ARABIA,,,,,,,,,,,
Saudi Arabia,stc,,,X,X,X,STC,SAUDI ARABIA,,,,,,,,,,,
Senegal,Free,,,X,X,X,FREE,SENEGAL,,,,,,,,,,,
Senegal,Hayo Telecom,,,X,X,,HAYO TELECOM,SENEGAL,,,,,,,,,,,
Senegal,Orange,,,X,X,X,ORANGE,SENEGAL,608.0,1.0,60801.0,Africa,Senegal,SN,Sonatel,Orange,,GSM 900 / UMTS 2100 / LTE,ORANGE
Serbia,A1,,22005,X,X,X,A1,SERBIA,,,,,,,,,,,
Serbia,MTS,,22003,X,X,X,MTS,SERBIA,220.0,3.0,22003.0,Europe,Serbia,RS,Telekom Srbija,mts,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / TETRA,MTS
Serbia,Yettel,,22001,X,X,X,YETTEL,SERBIA,,,,,,,,,,,
Sierra Leone,Africell,,,X,X,,AFRICELL,SIERRA LEONE,619.0,2.0,61902.0,Africa,Sierra Leone,SL,Lintel Sierra Leone Limited,Africell,,,AFRICELL
Sierra Leone,Africell,,,X,X,,AFRICELL,SIERRA LEONE,619.0,3.0,61903.0,Africa,Sierra Leone,SL,Lintel Sierra Leone Limited,Africell,,GSM 900,AFRICELL
Sierra Leone,Comium,,,X,,,COMIUM,SIERRA LEONE,619.0,4.0,61904.0,Africa,Sierra Leone,SL,Comium (Sierra Leone) Ltd.,Comium,,GSM 900 / GSM 1800,COMIUM
Sierra Leone,GreenN,,,X,,,GREENN,SIERRA LEONE,,,,,,,,,,,
Sierra Leone,Qcell,,,X,X,,QCELL,SIERRA LEONE,,,,,,,,,,,
Sierra Leone,Sierratel,,,,,,SIERRATEL,SIERRA LEONE,619.0,6.0,61906.0,Africa,Sierra Leone,SL,Sierra Leone Telephony,SierraTel,,CDMA 800 / LTE,SIERRATEL
Singapore,Changi Mobile,,,,,X,CHANGI MOBILE,SINGAPORE,,,,,,,,,,,
Singapore,China Mobile CMLink SG,,,,,X,CHINA MOBILE CMLINK SG,SINGAPORE,,,,,,,,,,,
Singapore,China Unicom CUniq SG,,,,,X,CHINA UNICOM CUNIQ SG,SINGAPORE,,,,,,,,,,,
Singapore,Circles.Life,,,,,X,CIRCLES.LIFE,SINGAPORE,525.0,9.0,52509.0,Oceania,Singapore,SG,Liberty Wireless Pte Ltd,Circles.Life,,MVNO,CIRCLES.LIFE
Singapore,GRID Communications,,,,,,GRID COMMUNICATIONS,SINGAPORE,,,,,,,,,,,
Singapore,Geenet Mobile,,,,,X,GEENET MOBILE,SINGAPORE,,,,,,,,,,,
Singapore,M1 with a digital sub-brand Maxx,,,,,X,M1 WITH A DIGITAL SUB-BRAND MAXX,SINGAPORE,,,,,,,,,,,
Singapore,MyRepublic,,,,,X,MYREPUBLIC,SINGAPORE,,,,,,,,,,,
Singapore,SIMBA,,,,,X,SIMBA,SINGAPORE,,,,,,,,,,,
Singapore,Singtel Mobile with digital sub-brands GOMO and heya,,,,,X,SINGTEL MOBILE WITH DIGITAL SUB-BRANDS GOMO AND HEYA,SINGAPORE,,,,,,,,,,,
Singapore,StarHub with digital sub-brands giga! and eight telecom,,,,,X,STARHUB WITH DIGITAL SUB-BRANDS GIGA! AND EIGHT TELECOM,SINGAPORE,,,,,,,,,,,
Singapore,VIVIFI,,,,,X,VIVIFI,SINGAPORE,,,,,,,,,,,
Singapore,ZYM Mobile,,,,,X,ZYM MOBILE,SINGAPORE,,,,,,,,,,,
Singapore,Zero1,,,,,X,ZERO1,SINGAPORE,,,,,,,,,,,
Singapore,redONE,,,,,X,REDONE,SINGAPORE,,,,,,,,,,,
Slovakia,4ka,,23103,X,,X,4KA,SLOVAKIA,231.0,3.0,23103.0,Europe,Slovakia,SK,"SWAN Mobile, a.s.",4ka,,LTE 1800 / TD-LTE 3500 / TD-LTE 3700,4KA
Slovakia,O 2,,23106,X,X,X,O 2,SLOVAKIA,,,,,,,,,,,
Slovakia,Orange,,"23101, 23105",X,,X,ORANGE,SLOVAKIA,231.0,5.0,23105.0,Europe,Slovakia,SK,Orange Slovensko,Orange,,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100,ORANGE
Slovakia,Telekom,,"23102, 23104",X,,X,TELEKOM,SLOVAKIA,231.0,4.0,23104.0,Europe,Slovakia,SK,Slovak Telekom,Telekom,,GSM 900 / GSM 1800 / UMTS 2100,TELEKOM
Slovenia,T-2,,29364,,X,X,T-2,SLOVENIA,293.0,64.0,29364.0,Europe,Slovenia,SI,T-2 d.o.o.,T-2,,UMTS 2100,T-2
Slovenia,Telekom Slovenije,,29341,X,,X,TELEKOM SLOVENIJE,SLOVENIA,,,,,,,,,,,
Slovenia,Telemach,,29370,X,X,X,TELEMACH,SLOVENIA,293.0,70.0,29370.0,Europe,Slovenia,SI,Tušmobil d.o.o.,Telemach,,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800,TELEMACH
Solomon Islands,Our Telekom,,,X,X,X,OUR TELEKOM,SOLOMON ISLANDS,,,,,,,,,,,
Somalia,Golis Telecom Somalia,,,X,,,GOLIS TELECOM SOMALIA,SOMALIA,,,,,,,,,,,
Somalia,Hormuud,,,X,X,X,HORMUUD,SOMALIA,637.0,50.0,63750.0,Africa,Somalia,SO,Hormuud Telecom Somalia Inc,Hormuud,,GSM 900 / UMTS,HORMUUD
Somalia,Nationlink,,,X,,,NATIONLINK,SOMALIA,637.0,10.0,63710.0,Africa,Somalia,SO,NationLink Telecom,Nationlink,,GSM 900,NATIONLINK
Somalia,Nationlink,,,X,,,NATIONLINK,SOMALIA,637.0,60.0,63760.0,Africa,Somalia,SO,Nationlink Telecom,Nationlink,,GSM 900 / GSM 1800,NATIONLINK
Somalia,Netco,,,X,,,NETCO,SOMALIA,,,,,,,,,,,
Somalia,SomNet,,,X,,X,SOMNET,SOMALIA,637.0,20.0,63720.0,Africa,Somalia,SO,SOMNET,SOMNET,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800,SOMNET
Somalia,Somafone,,,X,,,SOMAFONE,SOMALIA,637.0,4.0,63704.0,Africa,Somalia,SO,Somafone FZLLC,Somafone,,GSM 900 / GSM 1800,SOMAFONE
Somalia,Somtel,,,X,X,X,SOMTEL,SOMALIA,637.0,71.0,63771.0,Africa,Somalia,SO,Somtel,Somtel,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800,SOMTEL
Somalia,Telcom Somalia,,,X,X,X,TELCOM SOMALIA,SOMALIA,,,,,,,,,,,
Somalia,Telesom Mobile,,,X,X,,TELESOM MOBILE,SOMALIA,,,,,,,,,,,
South Africa,MTN,,,X,X,X,MTN,SOUTH AFRICA,655.0,12.0,65512.0,Africa,South Africa,ZA,MTN Group,MTN,,,MTN
South Africa,Rain,,,,,X,RAIN,SOUTH AFRICA,655.0,19.0,65519.0,Africa,South Africa,ZA,Wireless Business Solutions (Pty) Ltd,Rain,,LTE 1800 / TD-LTE 2600 / 5G 3500,RAIN
South Korea,KT,,,,X,X,KT,SOUTH KOREA,450.0,2.0,45002.0,Asia and the Middle East,South Korea,KR,KT,KT,,5G 3500 / 5G 28000,KT
South Korea,KT,,,,X,X,KT,SOUTH KOREA,450.0,4.0,45004.0,Asia and the Middle East,South Korea,KR,KT,KT,,NB-IoT,KT
South Korea,KT,,,,X,X,KT,SOUTH KOREA,450.0,7.0,45007.0,Asia and the Middle East,South Korea,KR,KT,KT,,,KT
South Korea,LG U +,,,,,X,LG U +,SOUTH KOREA,,,,,,,,,,,
South Korea,SK Telecom,,,,X,X,SK TELECOM,SOUTH KOREA,,,,,,,,,,,
South Sudan,Gemtel,,,X,,,GEMTEL,SOUTH SUDAN,659.0,3.0,65903.0,Africa,South Sudan,SS,Gemtel,Gemtel,,GSM 900 / GSM 1800,GEMTEL
South Sudan,Sudani,,,X,X,,SUDANI,SOUTH SUDAN,659.0,7.0,65907.0,Africa,South Sudan,SS,Sudani,Sudani,,CDMA,SUDANI
South Sudan,Vivacell,,,X,,,VIVACELL,SOUTH SUDAN,659.0,4.0,65904.0,Africa,South Sudan,SS,Network of the World (NOW),Vivacell,,GSM 900 / GSM 1800,VIVACELL
Spain,DIGI,,21422,,,X,DIGI,SPAIN,,,,,,,,,,,
Spain,Movistar,,21407,X,X,X,MOVISTAR,SPAIN,214.0,5.0,21405.0,Europe,Spain,ES,Telefónica Móviles España,Movistar,,MVNO,MOVISTAR
Spain,MásOrange,,21403 21404,X,X,X,MÁSORANGE,SPAIN,,,,,,,,,,,
Spain,Vodafone,,21401,X,X,X,VODAFONE,SPAIN,214.0,6.0,21406.0,Europe,Spain,ES,Vodafone Spain,Vodafone,,MVNO,VODAFONE
Sri Lanka,Dialog,,413-02,X,,X,DIALOG,SRI LANKA,413.0,11.0,41311.0,Asia and the Middle East,Sri Lanka,LK,Dialog Broadband Networks (Pvt) Ltd,Dialog,,CDMA / WiMAX / TD-LTE 2300,DIALOG
Sri Lanka,Hutch,,413-08,X,X,X,HUTCH,SRI LANKA,413.0,9.0,41309.0,Asia and the Middle East,Sri Lanka,LK,Hutchison Telecommunications Lanka (Pvt) Ltd,Hutch,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 900 / LTE 1800,HUTCH
Sri Lanka,SLTMobitel,,413-01,X,X,X,SLTMOBITEL,SRI LANKA,,,,,,,,,,,
Sudan,Canar,,,,,,CANAR,SUDAN,634.0,5.0,63405.0,Africa,Sudan,SD,Canar Telecom,canar,,CDMA2000 450,CANAR
Sudan,MTN,,,X,X,X,MTN,SUDAN,634.0,3.0,63403.0,Africa,Sudan,SD,MTN Sudan,MTN,,,MTN
Sudan,Sudani,,,X,X,,SUDANI,SUDAN,,,,,,,,,,,
Sudan,Zain,,,X,X,X,ZAIN,SUDAN,,,,,,,,,,,
Suriname,Digicel,,,X,X,,DIGICEL,SURINAME,746.0,4.0,74604.0,South and Central America,Suriname,SR,Digicel Group Limited,Digicel,,GSM 900 / UMTS,DIGICEL
Suriname,Telesur,,,X,X,X,TELESUR,SURINAME,746.0,5.0,74605.0,South and Central America,Suriname,SR,Telecommunications Company Suriname (Telesur),Telesur,,CDMA 450,TELESUR
Sweden,Telenor,,24008,X,X,X,TELENOR,SWEDEN,240.0,6.0,24006.0,Europe,Sweden,SE,Telenor Sverige AB,Telenor,,UMTS 2100,TELENOR
Sweden,Tre,,24002,,X,X,TRE,SWEDEN,,,,,,,,,,,
Switzerland,Sunrise,,22802,,X,X,SUNRISE,SWITZERLAND,228.0,12.0,22812.0,Europe,Switzerland,CH,Sunrise Communications AG,Sunrise,,,SUNRISE
Switzerland,Sunrise,,22802,,X,X,SUNRISE,SWITZERLAND,228.0,60.0,22860.0,Europe,Switzerland,CH,Sunrise Communications AG,Sunrise,,,SUNRISE
Syria,Rcell,,,,,X,RCELL,SYRIA,,,,,,,,,,,
Syria,Syriatel,,,X,X,X,SYRIATEL,SYRIA,417.0,1.0,41701.0,Asia and the Middle East,Syria,SY,Syriatel Mobile Telecom,Syriatel,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,SYRIATEL
São Tomé and Príncipe,CST,,,X,X,,CST,SÃO TOMÉ AND PRÍNCIPE,,,,,,,,,,,
Taiwan,Chunghwa Telecom 中華電信,,,,,X,CHUNGHWA TELECOM 中華電信,TAIWAN,,,,,,,,,,,
Taiwan,Far EasTone 遠傳電信,,,,,X,FAR EASTONE 遠傳電信,TAIWAN,,,,,,,,,,,
Taiwan,Ibon Mobile,,,,,X,IBON MOBILE,TAIWAN,,,,,,,,,,,
Taiwan,Line Mobile,,,,,X,LINE MOBILE,TAIWAN,,,,,,,,,,,
Taiwan,Taiwan Mobile 台灣大哥大,,,,,X,TAIWAN MOBILE 台灣大哥大,TAIWAN,,,,,,,,,,,
Tajikistan,Babilon-Mobile,,,X,X,X,BABILON-MOBILE,TAJIKISTAN,,,,,,,,,,,
Tajikistan,MegaFon,,,X,X,,MEGAFON,TAJIKISTAN,436.0,3.0,43603.0,Asia and the Middle East,Tajikistan,TJ,TT Mobile,MegaFon,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800,MEGAFON
Tajikistan,Tcell,,,X,X,X,TCELL,TAJIKISTAN,436.0,12.0,43612.0,Asia and the Middle East,Tajikistan,TJ,Indigo,Tcell,,UMTS 2100,TCELL
Tajikistan,Tcell,,,X,X,X,TCELL,TAJIKISTAN,436.0,2.0,43602.0,Asia and the Middle East,Tajikistan,TJ,Indigo Tajikistan,Tcell,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800,TCELL
Tajikistan,Tcell,,,X,X,X,TCELL,TAJIKISTAN,436.0,1.0,43601.0,Asia and the Middle East,Tajikistan,TJ,JV Somoncom,Tcell,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800,TCELL
Tajikistan,ZET Mobile,,,X,X,,ZET MOBILE,TAJIKISTAN,,,,,,,,,,,
Thailand,168,,,,X,,168,THAILAND,,,,,,,,,,,
