,Country,Operator,Ownership,MCCMNC,Technology,Notes,Includes
62,Georgia,MegaFon,CJSC Ostelkom (branding licence agreement with MegaFon)[66],25002,GSM-900/1800 MHz 900/1800 MHz UMTS 800/1800 MHz LTE,,
63,Germany,Telekom,Deutsche Telekom AG,26201,"900/1800 MHz GSM (EDGE) 700/800/900/1500/1800/2100/2600 MHz LTE, LTE-A 700/2100/3600 MHz 5G NR VoLTE, VoWiFi, AML, RCS",,
64,Germany,O2,"Telefónica S.A. (96.8%), free float (3.2%)",26203,"900/1800 MHz GSM (GPRS, EDGE) 700/800/900/1800/2100/2600 MHz LTE, LTE-A 700/1800/3600 MHz 5G NR VoLTE, VoWiFi, AML, RCS",,
65,Germany,Vodafone Germany,Vodafone Group plc,26202,"900 MHz GSM (GPRS, EDGE) 700/800/900/1800/2100/2600 MHz LTE, LTE-A 700/1800/3600 MHz 5G NR VoLTE, VoWiFi, AML, RCS",,
66,Germany,1&1,"United Internet AG (78.32%), free float (18.26%), TGW Logistics Group (3.00%), others (0,42 %)",26223,"2600 MHz LTE 3600 MHz 5G NR (Roams on Vodafone where there is no 1&1 coverage) VoLTE, VoWiFi, AML",,
67,Gibraltar,Gibtelecom,Government of Gibraltar,26601,"GSM-900/1800 2100 MHz UMTS 800/2600 MHz LTE, LTE-A",,
68,Greece,COSMOTE,OTE A.E. (Deutsche Telekom AG 54.5%),"20201, 20202","900/1800 MHz GSM (EDGE) 800/1800/2100/2600 MHz LTE, LTE-A VoLTE, VoWiFi 2100/3500 MHz 5G NR",,
69,Greece,Vodafone,Vodafone Group (100%),"20205 (Vodafone), 20214 (CYTA Hellas)","900/1800 MHz GSM (EDGE) 800/1800/2100/2600 MHz LTE, LTE-A VoLTE, VoWiFi 2100/3500 MHz 5G NR",,
70,Greece,NOVA,United Group B.V.,"20209 (Q-TELECOM), 20210 (NOVA)","900/1800 GSM (EDGE) 800/1800/2100/2600 MHz LTE, LTE-A VoLTE, VoWiFi 2100/3500 MHz 5G NR",,
71,Guernsey,Sure,Batelco,23455,GSM-900 2100 MHz UMTS LTE,,
72,Guernsey,JT,JT Group,23450,GSM-1800 2100 MHz UMTS LTE,,
73,Guernsey,Airtel-Vodafone,Batelco,23403,GSM-1800 2100 MHz UMTS LTE,,
74,Hungary,Magyar Telekom,"Deutsche Telekom AG (61.39%), free float (40.79%)[71]",21630,"GSM-900/1800 MHz (GPRS, EDGE) 700/800/1800/2100/2600 MHz LTE, LTE-A VoLTE, VoWiFi (LTE 800 MHz is in cooperating with Yettel) 700/2100 MHz 5G NR (DSS)",,
75,Hungary,Yettel,e& PPF Telecom Group,21601,"GSM-900/1800 (GPRS, EDGE) 700/800/900/1800/2100/2600 MHz LTE, LTE-A VoLTE, VoWiFi (LTE 800 MHz is in cooperating with Magyar Telekom) 3500 MHz 5G NR/5G SA",,
76,Hungary,One,4iG (70.5%) and Government of Hungary (29.5%)[72],21670,"• Includes the previous UPC Hungary and DIGI Mobile and Line 21 networks. || GSM-900/1800 MHz (GPRS, EDGE) 700/800/900/1800/2100/2600 MHz LTE, LTE-A VoLTE, VoWiFi 700 MHz 5G NR (DSS)",,
77,Iceland,Síminn,Síminn,27401,GSM-900/1800 MHz 900/2100 MHz UMTS 700/1800/2600 MHz LTE VoLTE 3600 MHz 5G NR,,
78,Iceland,Nova,Nova,27411,"2100 MHz UMTS, HSDPA 1800 MHz LTE VoLTE 3500 MHz 5G NR",,
79,Iceland,Vodafone,Sýn,27402,GSM-900/1800 MHz 2100 MHz UMTS 800/1800 MHz LTE 3500 MHz 5G NR VoLTE,,
80,Ireland,Three,CK Hutchison Holdings,"27205 (Three), 27202 (O2)","900/1800 MHz GSM (GPRS, EDGE) 900/2100 MHz UMTS, HSPA, HSPA+, DC-HSPA+ 800/1800 MHz LTE, LTE-A 700/2100 MHz LTE, LTE-A (Operating on a temporary licence) 1800/3500 MHz 5G NR VoLTE, VoWiFi, AML, eSIM",,
81,Ireland,Vodafone,Vodafone Group plc,27201,"900/1800 MHz GSM (GPRS, EDGE) 900/2100 MHz UMTS, HSPA, HSPA+, DC‑HSPA+ * 800/1800 MHz LTE, LTE-A 700/2100 MHz LTE, LTE-A (Operating on a temporary licence) 1800/3500 MHz 5G NR VoLTE, VoWiFi, RCS, AML, eSIM * 3G Network has been fully shutdown in 2024",,
82,Ireland,eir,"Iliad (31.6%), NJJ (32.9%)[75]",27203,"900/1800 MHz GSM (GPRS, EDGE) 900/2100 MHz UMTS, HSPA, HSPA+, DC-HSPA+ 800/1800 MHz LTE, LTE-A 700/2100 MHz LTE, LTE-A (Operating on a temporary licence) 1800/3500 MHz 5G NR VoLTE, VoWiFi, AML",,
83,Isle of Man,Manx Telecom,Basalt Investment Partners,23458,GSM-900 2100 MHz UMTS 800/1800 MHz LTE,,
84,Isle of Man,Sure,Batelco,23436,"GSM-900/1800 2100 MHz UMTS 800/1800 MHzLTE, LTE-A",,
85,Italy,Wind Tre,CK Hutchison Holdings,22288 and 22299,"900 MHz GSM (GPRS, EDGE), UMTS, HSPA, HSPA+ 800/1800/2100/2600 MHz LTE, LTE-A 1800/2600/3500/28000 MHz 5G NR VoLTE, VoWiFi, AML",,
