carrier_name,country,CC,NDC,country_upper,carrier_name_upper
O2,Argentina,54.0,3469,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3585,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,364,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3754,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3775,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3826,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3856,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3878,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3887,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2229,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2252,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2296,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2333,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2345,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2352,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2353,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2354,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2356,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2622,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2658,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,291,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2934,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2940,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2962,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,297,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,298,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3400,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3444,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3446,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3458,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3463,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3464,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3472,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,348,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3482,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3521,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3524,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3537,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3541,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3544,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3572,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,358,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,370,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3755,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,376,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3777,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,380,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3835,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3845,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3854,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3869,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,387,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3888,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,11,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2254,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2291,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,230,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2342,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2358,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2393,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2474,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2475,ARGENTINA,O2 ARGENTINA
