MCC,MNC,PLMN,Region,Country,ISO,Operator,Brand,PLMNCode,2G,GPRS/3G,LTE,NetworkId,NetworkName,Source
426.0,4.0,42604,,Bahrain,,,Viva Bahrain (STC),BHRST,YES,YES,YES,viva_bahrain_(stc)_bahrain,Viva Bahrain (STC),system
364.0,39.0,36439.0,North America and the Caribbean,Bahamas,BS,The Bahamas Telecommunications Company Ltd (BaTelCo),BTC,BHSBH,YES,YES,YES,btc_bahamas,BTC,system
364.0,49.0,36449.0,North America and the Caribbean,Bahamas,BS,Cable Bahamas Ltd,Aliv,BHSNC,,YES,YES,aliv_bahamas,Aliv,system
218.0,3.0,21803.0,Europe,Bosnia and Herzegovina,BA,Public Enterprise Croatian Telecom Ltd.,HT-ERONET,BIHER,YES,YES,,ht-eronet_bosnia_and_herzegovina,HT-ERONET,system
218.0,5.0,21805.0,Europe,Bosnia and Herzegovina,BA,RS Telecommunications JSC Banja Luka,m:tel BiH,BIHMS,YES,YES,,m:tel_bih_bosnia_and_herzegovina,m:tel BiH,system
218.0,90.0,21890.0,Europe,Bosnia and Herzegovina,BA,BH Telecom,BH Mobile,BIHPT,YES,YES,YES,bh_mobile_bosnia_and_herzegovina,BH Mobile,system
257.0,2.0,25702.0,Europe,Belarus,BY,Mobile TeleSystems,MTS,BLR02,YES,YES,,mts_belarus,MTS,system
257.0,4.0,25704,,Belarus,,,Life Best Belarus,BLRBT,YES,YES,Planned,life_best_belarus_belarus,Life Best Belarus,system
257.0,1.0,25701.0,Europe,Belarus,BY,A1 Belarus,A1,BLRMD,YES,YES,,a1_belarus,A1,system
702.0,67.0,70267.0,South and Central America,Belize,BZ,Belize Telemedia Limited (BTL),DigiCell,BLZ67,YES,YES,YES,digicell_belize,DigiCell,system
702.0,69.0,70269.0,South and Central America,Belize,BZ,Speednet Communications Limited,SMART,BLZSC,,YES,YES,smart_belize,SMART,system
901.0,18.0,90118.0,Worldwide,Worldwide,XX,AT&T Mobility,Cellular @Sea,BMU01,YES,YES,,cellular_@sea_worldwide,Cellular @Sea,system
736.0,1.0,73601.0,South and Central America,Bolivia,BO,Nuevatel PCS De Bolivia SA,Viva,BOLNT,YES,YES,YES,viva_bolivia,Viva,system
736.0,3.0,73603.0,South and Central America,Bolivia,BO,Telefónica Celular De Bolivia S.A,Tigo,BOLTE,YES,YES,YES,tigo_bolivia,Tigo,system
724.0,16.0,72416.0,South and Central America,Brazil,BR,Brasil Telecom GSM,Brasil Telecom GSM,BRABT,YES,YES,,brasil_telecom_gsm_brazil,Brasil Telecom GSM,system
724.0,34.0,72434.0,South and Central America,Brazil,BR,Algar Telecom S.A.,Algar Telecom,BRAC4,YES,YES,YES,algar_telecom_brazil,Algar Telecom,system
724.0,5.0,72405.0,South and Central America,Brazil,BR,Claro,Claro,BRACL,YES,YES,YES,claro_brazil,Claro,system
724.0,4.0,72404.0,South and Central America,Brazil,BR,Telecom Italia Mobile,TIM,BRACS,YES,YES,YES,tim_brazil,TIM,system
724.0,2.0,72402.0,South and Central America,Brazil,BR,Telecom Italia Mobile,TIM,BRARN,YES,YES,YES,tim_brazil,TIM,system
724.0,3.0,72403.0,South and Central America,Brazil,BR,Telecom Italia Mobile,TIM,BRASP,YES,YES,YES,tim_brazil,TIM,system
724.0,23.0,72423.0,South and Central America,Brazil,BR,Telefônica Brasil S.A.,Vivo,BRATC,YES,YES,YES,vivo_brazil,Vivo,system
724.0,31.0,72431.0,South and Central America,Brazil,BR,TNL PCS Oi,Oi,BRATM,YES,YES,YES,oi_brazil,Oi,system
724.0,10.0,72410.0,South and Central America,Brazil,BR,Telefônica Brasil S.A.,Vivo,BRAV1,YES,YES,YES,vivo_brazil,Vivo,system
724.0,6.0,72406.0,South and Central America,Brazil,BR,Telefônica Brasil S.A.,Vivo,BRAV2,YES,YES,YES,vivo_brazil,Vivo,system
724.0,11.0,72411.0,South and Central America,Brazil,BR,Telefônica Brasil S.A.,Vivo,BRAV3,YES,YES,YES,vivo_brazil,Vivo,system
342.0,600.0,342600.0,North America and the Caribbean,Barbados,BB,LIME (formerly known as Cable & Wireless),FLOW,BRBCW,YES,YES,YES,flow_barbados,FLOW,system
528.0,2.0,52802.0,Oceania,Brunei,BN,Progresif Cellular Sdn Bhd,PCSB,BRNBR,,YES,,pcsb_brunei,PCSB,system
528.0,11.0,52811.0,Oceania,Brunei,BN,Data Stream Technology Sdn Bhd,DST,BRNDS,YES,YES,YES,dst_brunei,DST,system
652.0,4.0,65204.0,Africa,Botswana,BW,Botswana Telecommunications Corporation,beMobile,BWABC,YES,YES,YES,bemobile_botswana,beMobile,system
652.0,1.0,65201.0,Africa,Botswana,BW,Mascom Wireless (Pty) Limited,Mascom,BWAGA,YES,YES,YES,mascom_botswana,Mascom,system
652.0,2.0,65202,,Botswana,,,Orange Botswana,BWAVC,YES,YES,YES,orange_botswana_botswana,Orange Botswana,system
,,<NA><NA>,,Centrafrique,,,Telecel Centrafrique ,CAF02,,,,telecel_centrafrique__centrafrique,Telecel Centrafrique ,system
623.0,3.0,62303.0,Africa,Central African Republic,CF,Orange RCA,Orange,CAF03,YES,YES,,orange_central_african_republic,Orange,system
302.0,610.0,302610.0,North America and the Caribbean,Canada,CA,Bell Mobility,Bell Mobility,CANBM,,YES,YES,bell_mobility_canada,Bell Mobility,system
302.0,720.0,302720.0,North America and the Caribbean,Canada,CA,Rogers Communications,Rogers Wireless,CANRW,YES,YES,YES,rogers_wireless_canada,Rogers Wireless,system
302.0,780.0,302780.0,North America and the Caribbean,Canada,CA,SaskTel Mobility,SaskTel,CANST,,YES,YES,sasktel_canada,SaskTel,system
302.0,220.0,302220.0,North America and the Caribbean,Canada,CA,Telus Mobility,"Telus Mobility, Koodo Mobile, Public Mobile",CANTS,,YES,YES,"telus_mobility,_koodo_mobile,_public_mobile_canada","Telus Mobility, Koodo Mobile, Public Mobile",system
302.0,500.0,302500.0,North America and the Caribbean,Canada,CA,Videotron,Videotron,CANVT,,YES,YES,videotron_canada,Videotron,system
228.0,1.0,22801.0,Europe,Switzerland,CH,Swisscom AG,Swisscom,CHEC1,YES,YES,YES,swisscom_switzerland,Swisscom,system
228.0,2.0,22802.0,Europe,Switzerland,CH,Sunrise Communications AG,Sunrise,CHEDX,YES,YES,YES,sunrise_switzerland,Sunrise,system
901.0,15.0,90115,,Switzerland,,,SITA OnAir Switzerland,CHEOA,YES,YES,0,sita_onair_switzerland_switzerland,SITA OnAir Switzerland,system
228.0,3.0,22803.0,Europe,Switzerland,CH,Salt Mobile SA,Salt,CHEOR,YES,YES,YES,salt_switzerland,Salt,system
730.0,1.0,73001.0,South and Central America,Chile,CL,Entel Telefonía Móvil S.A.,entel,CHLMV,YES,YES,YES,entel_chile,entel,system
730.0,3.0,73003.0,South and Central America,Chile,CL,Claro Chile S.A.,CLARO CL,CHLSM,YES,YES,YES,claro_cl_chile,CLARO CL,system
730.0,2.0,73002.0,South and Central America,Chile,CL,Telefónica Móvil de Chile,movistar,CHLTM,YES,YES,YES,movistar_chile,movistar,system
460.0,2.0,46002.0,Asia and the Middle East,China,CN,China Mobile,China Mobile,CHNCM,YES,,YES,china_mobile_china,China Mobile,system
460.0,0.0,46000.0,Asia and the Middle East,China,CN,China Mobile,China Mobile,CHNCT,YES,,YES,china_mobile_china,China Mobile,system
460.0,1.0,46001.0,Asia and the Middle East,China,CN,China Unicom,China Unicom,CHNCU,YES,YES,YES,china_unicom_china,China Unicom,system
460.0,7.0,46007.0,Asia and the Middle East,China,CN,China Mobile,China Mobile,CHNTD,YES,,YES,china_mobile_china,China Mobile,system
612.0,2.0,61202.0,Africa,Ivory Coast,CI,Atlantique Cellulaire,Moov,CIV02,YES,YES,YES,moov_ivory_coast,Moov,system
612.0,3.0,61203,,Côte d'Ivoire,,,Orange,CIV03,YES,YES,YES,orange_côte_d'ivoire,Orange,system
612.0,5.0,61205.0,Africa,Ivory Coast,CI,Loteny Telecom,MTN,CIVTL,YES,YES,YES,mtn_ivory_coast,MTN,system
624.0,2.0,62402,,Cameroun,,,Orange,CMR02,YES,YES,YES,orange_cameroun,Orange,system
624.0,1.0,62401.0,Africa,Cameroon,CM,Mobile Telephone Network Cameroon Ltd,MTN Cameroon,CMRMT,YES,YES,YES,mtn_cameroon_cameroon,MTN Cameroon,system
624.0,4.0,62404.0,Africa,Cameroon,CM,Viettel Cameroun,Nexttel,CMRVG,YES,YES,,nexttel_cameroon,Nexttel,system
630.0,90.0,63090.0,Africa,Democratic Republic of the Congo,CD,Africell RDC sprl,Africell,CODAC,YES,,,africell_democratic_republic_of_the_congo,Africell,system
630.0,2.0,63002.0,Africa,Democratic Republic of the Congo,CD,Airtel sprl,Airtel,CODCT,YES,YES,,airtel_democratic_republic_of_the_congo,Airtel,system
630.0,86.0,63086.0,Africa,Democratic Republic of the Congo,CD,Orange RDC sarl,Orange RDC,CODOR,YES,YES,YES,orange_rdc_democratic_republic_of_the_congo,Orange RDC,system
630.0,89.0,63089.0,Africa,Democratic Republic of the Congo,CD,Orange RDC sarl,Orange RDC,CODSA,YES,YES,,orange_rdc_democratic_republic_of_the_congo,Orange RDC,system
630.0,1.0,63001.0,Africa,Democratic Republic of the Congo,CD,Vodacom Congo RDC sprl,Vodacom,CODVC,YES,YES,YES,vodacom_democratic_republic_of_the_congo,Vodacom,system
629.0,1.0,62901.0,Africa,Congo,CG,Celtel Congo,Airtel,COGCT,YES,YES,YES,airtel_congo,Airtel,system
732.0,101.0,732101.0,South and Central America,Colombia,CO,COMCEL S.A.,Claro,COLCM,YES,YES,YES,claro_colombia,Claro,system
732.0,111.0,732111.0,South and Central America,Colombia,CO,Colombia Móvil S.A. ESP,Tigo,COLCO,YES,YES,YES,tigo_colombia,Tigo,system
732.0,123.0,732123.0,South and Central America,Colombia,CO,Colombia Telecomunicaciones S.A. ESP,movistar,COLTM,YES,YES,YES,movistar_colombia,movistar,system
654.0,1.0,65401.0,Africa,Comoros,KM,Comores Telecom,HURI,COMHR,YES,YES,,huri_comoros,HURI,system
654.0,2.0,65402.0,Africa,Comoros,KM,Telecom Malagasy (Telma),TELCO SA,COMTM,YES,YES,YES,telco_sa_comoros,TELCO SA,system
625.0,1.0,62501.0,Africa,Cape Verde,CV,"CVMóvel, S.A.",CVMOVEL,CPVCV,YES,YES,YES,cvmovel_cape_verde,CVMOVEL,system
625.0,2.0,62502.0,Africa,Cape Verde,CV,"UNITEL T+ TELECOMUNICACÕES, S.A.",T+,CPVTM,YES,YES,,t+_cape_verde,T+,system
712.0,3.0,71203.0,South and Central America,Costa Rica,CR,Claro CR Telecomunicaciones (Aló),Claro,CRICL,YES,YES,YES,claro_costa_rica,Claro,system
712.0,1.0,71201.0,South and Central America,Costa Rica,CR,Instituto Costarricense de Electricidad,Kölbi ICE,CRICR,YES,YES,YES,kölbi_ice_costa_rica,Kölbi ICE,system
712.0,4.0,71204.0,South and Central America,Costa Rica,CR,Telefónica Móviles Costa Rica,movistar,CRITC,YES,YES,YES,movistar_costa_rica,movistar,system
368.0,1.0,36801.0,North America and the Caribbean,Cuba,CU,"Empresa de Telecomunicaciones de Cuba, SA",CUBACEL,CUB01,YES,YES,,cubacel_cuba,CUBACEL,system
346.0,140.0,346140.0,North America and the Caribbean,Cayman Islands (UK),KY,Cable & Wireless (Cayman Islands) Limited,FLOW,CYMCW,YES,YES,YES,flow_cayman_islands_(uk),FLOW,system
280.0,1.0,28001.0,Europe,Cyprus,CY,Cyprus Telecommunications Authority,Cytamobile-Vodafone,CYPCT,YES,YES,YES,cytamobile-vodafone_cyprus,Cytamobile-Vodafone,system
280.0,20.0,28020.0,Europe,Cyprus,CY,PrimeTel PLC,PrimeTel,CYPPT,,YES,YES,primetel_cyprus,PrimeTel,system
280.0,10.0,28010.0,Europe,Cyprus,CY,Monaco Telecom,Epic,CYPSC,YES,YES,YES,epic_cyprus,Epic,system
230.0,3.0,23003.0,Europe,Czech Republic,CZ,Vodafone Czech Republic,Vodafone,CZECM,YES,YES,YES,vodafone_czech_republic,Vodafone,system
230.0,2.0,23002.0,Europe,Czech Republic,CZ,O2 Czech Republic,O2,CZEET,YES,YES,YES,o2_czech_republic,O2,system
230.0,1.0,23001.0,Europe,Czech Republic,CZ,T-Mobile Czech Republic,T-Mobile,CZERM,YES,YES,YES,t-mobile_czech_republic,T-Mobile,system
