NetworkId,NetworkName,Rate,Routage,Source
pronto_gsm_isle_of_man_(uk),Pronto GSM,HLR BARRING,Comfone,system
pronto_gsm_united_kingdom,Pronto GSM,HLR BARRING,Comfone,system
orange_united_kingdom,Orange,0+,Bilateral,system
vodafone_uk_united_kingdom,Vodafone UK,80,Orange Hub,system
geocell_georgia,Geocell,,,system
beeline_georgia,Beeline,,,system
globacom_ghana,Globacom,,,system
vodafone_ghana,Vodafone,95,Orange Hub,system
airteltigo_ghana,AirtelTigo,HLR BARRING,Bilateral,system
mtn_ghana,MTN,,,system
mtn_ghana_(scancom)_ghana,MTN Ghana (Scancom),5,,system
airteltigo_ghana,AirtelTigo,,,system
gibtel_gibraltar_(uk),GibTel,,,system
mtn_guinea,MTN,10,Orange Hub,system
orange_guinea,Orange,90,Orange Hub,system
orange_french_antilles_(france),Orange,100,Orange Hub,system
dauphin_telecom_(amigo_gsm)_caraibes,Dauphin Telecom (Amigo GSM),HLR BARRING,Comfone,system
africell_gambia,Africell,,,system
qcell_gambia,QCell,,,system
orange_bissau_guinee_bissau,Orange Bissau,90,Orange Hub,system
mtn_areeba_guinea-bissau,MTN Areeba,10,Orange Hub,system
muni_equatorial_guinea,Muni,,,system
cosmote_greece,Cosmote,10,Bilateral,system
vodafone_greece,Vodafone,90,Orange Hub,system
wind_greece,Wind,,,system
flow_grenada,FLOW,,,system
tele_greenland_a/s_greenland,TELE Greenland A/S,,,system
comunicaciones_celulares_s.a._guatemala,Comunicaciones Celulares S.A.,HLR BARRING,Comfone,system
claro_guatemala,Claro,100,Comfone,system
movistar_guatemala,movistar,,,system
docomo_guam_(usa),Docomo,,,system
docomo_northern_mariana_islands_(usa),Docomo,,,system
docomo_united_states_of_america,Docomo,,,system
digicel_guyana,Digicel,,,system
3_hong_kong,3,,,system
3_(2g)_hong_kong,3 (2G),,,system
pccw_mobile_(3g)_hong_kong,PCCW Mobile (3G),,,system
pccw_mobile_(2g)_hong_kong,PCCW Mobile (2G),,,system
new_world_mobility_hong_kong,New World Mobility,,,system
cmcc_hk_hong_kong,CMCC HK,,,system
smartone_hong_kong,SmarTone,20,Bilateral,system
1o1o_/_one2free_/_new_world_mobility_/_sunmobile_hong_kong,1O1O / One2Free / New World Mobility / SUNMobile,80,Orange Hub,system
"telefónica_celular,_s.a._(celtel)___honduras","Telefónica Celular, S.A. (CELTEL)  ",HLR BARRING,Comfone,system
digicel_honduras,Digicel,,,system
claro_honduras,Claro,100,Comfone,system
t-mobile_croatia,T-Mobile,20,Comfone,system
tele2_croatia,Tele2,HLR BARRING,Bilateral,system
a1_croatia,A1,80,Bilateral,system
voila_haiti,Voila,,,system
natcom_haiti,Natcom,,,system
telenor_hungary_hungary,Telenor Hungary,0+,Bilateral,system
t-mobile_hungary,T-Mobile,10,Bilateral,system
vodafone_hungary,Vodafone,90,Orange Hub,system
3_indonesia,3,20,Bilateral,system
xl_indonesia,XL,,,system
im3_indonesia,IM3,,,system
axis_indonesia,AXIS,,,system
indosat_ooredoo_indonesia,Indosat Ooredoo,80,Comfone,system
telkomsel_indonesia,Telkomsel,HLR BARRING,Bilateral,system
aircel_india,Aircel,,,system
aircel_india,AIRCEL,,,system
aircel_india,AIRCEL,,,system
aircel_india,AIRCEL,,,system
aircel_india,AIRCEL,,,system
idea_india,IDEA,,,system
aircel_india,AIRCEL,,,system
airtel_india,AirTel,,,system
airtel_india,AirTel,,,system
airtel_india,AirTel,,,system
airtel_india,AirTel,,,system
airtel_india,AirTel,,,system
airtel_india,Airtel,,,system
aircel_india,AIRCEL,,,system
aircel_india,AIRCEL,,,system
aircel_india,AIRCEL,,,system
aircel_india,AIRCEL,,,system
aircel_india,AIRCEL,,,system
aircel_india,AIRCEL,,,system
aircel_india,AIRCEL,,,system
aircel_india,AIRCEL,,,system
aircel_india,AIRCEL,,,system
aircel_india,AIRCEL,,,system
aircel_india,AIRCEL,,,system
aircel_india,AIRCEL,,,system
aircel_india,AIRCEL,,,system
airtel_india,AirTel,,,system
airtel_india,AirTel,,,system
airtel_india,AirTel,,,system
airtel_india,AirTel,,,system
airtel_india,AirTel,,,system
airtel_india,AirTel,,,system
aircel_india,Aircel,,,system
airtel_india,AirTel,,,system
idea_india,IDEA,,,system
vodafone_india_india,Vodafone India,,,system
airtel_india,AirTel,,,system
vodafone_india_india,Vodafone India,,,system
idea_india,IDEA,,,system
vodafone_india_india,Vodafone India,,,system
vodafone_india_india,Vodafone India,,,system
dolphin_india,DOLPHIN,,,system
vodafone_india_india,Vodafone India,,,system
idea_india,IDEA,,,system
idea_india,IDEA,,,system
idea_india,IDEA,,,system
vodafone_india_india,Vodafone India,,,system
vodafone_india_india,Vodafone India,,,system
idea_india,IDEA,,,system
idea_india,IDEA,,,system
idea_india,IDEA,,,system
idea_india,IDEA,,,system
idea_india,IDEA,,,system
idea_india,IDEA,,,system
idea_india,IDEA,,,system
jio_india,Jio,,,system
jio_india,Jio,,,system
jio_india,Jio,,,system
jio_india,Jio,,,system
jio_india,Jio,,,system
jio_india,Jio,,,system
jio_india,Jio,,,system
airtel_india,Airtel,,,system
jio_india,Jio,,,system
airtel_india,Airtel,,,system
jio_india,Jio,,,system
jio_india,Jio,,,system
jio_india,Jio,,,system
jio_india,Jio,,,system
jio_india,Jio,,,system
jio_india,Jio,,,system
jio_india,Jio,,,system
jio_india,Jio,,,system
jio_india,Jio,,,system
jio_india,Jio,,,system
jio_india,Jio,,,system
jio_india,Jio,,,system
jio_india,Jio,,,system
dolphin_india,DOLPHIN,,,system
idea_india,IDEA,,,system
airtel_india,AirTel,,,system
aircel_india,Aircel,,,system
reliance_india,Reliance,,,system
idea_india,IDEA,,,system
idea_india,IDEA,,,system
tata_docomo_india,TATA DOCOMO,,,system
tata_docomo_india,TATA DOCOMO,,,system
tata_docomo_india,TATA DOCOMO,,,system
tata_docomo_india,TATA DOCOMO,,,system
tata_docomo_india,TATA DOCOMO,,,system
tata_docomo_india,TATA DOCOMO,,,system
tata_docomo_india,TATA DOCOMO,,,system
tata_docomo_india,TATA DOCOMO,,,system
tata_docomo_india,TATA DOCOMO,,,system
tata_docomo_india,TATA DOCOMO,,,system
tata_docomo_india,TATA DOCOMO,,,system
tata_docomo_india,TATA DOCOMO,,,system
tata_docomo_india,TATA DOCOMO,,,system
tata_docomo_india,TATA DOCOMO,,,system
tata_docomo_india,TATA DOCOMO,,,system
tata_docomo_india,TATA DOCOMO,,,system
tata_docomo_india,TATA DOCOMO,,,system
tata_docomo_india,TATA DOCOMO,,,system
tata_docomo_india,TATA DOCOMO,,,system
cellone_india,cellone,,,system
3_ireland,3,0+,Bilateral,system
vodafone_ireland,Vodafone,100,Orange Hub,system
3_ireland,3,,,system
eir_ireland,Eir,0,Comfone,system
ir-tci_(hamrah-e-avval)_iran,IR-TCI (Hamrah-e-Avval),,,system
mtn_irancell_iran,MTN Irancell,,,system
rightel_iran,Rightel,,,system
asia_cell_iraq,Asia Cell,,,system
nova_iceland,Nova,,,system
síminn_iceland,Síminn,,,system
vodafone_iceland,Vodafone,,,system
viking_iceland,Viking,,,system
partner_israel,Partner,,,system
cellcom_israel,Cellcom,,,system
hot_mobile_israel,Hot Mobile,,,system
pelephone_israel,Pelephone,,,system
iliad_italy,Iliad,65,Bilateral,system
tim@sea_worldwide,TIM@sea,HLR BARRING,Bilateral,system
3_italia_italy,3 Italia,,,system
vodafone_italy,Vodafone,30,Orange Hub,system
tim_italy,TIM,5,Bilateral,system
wind_italy,Wind,0,Bilateral,system
flow_jamaica,FLOW,,,system
digicel_bermuda_bermuda,Digicel Bermuda,,,system
digicel_saint_lucia,Digicel,,,system
digicel_jamaica,Digicel,,,system
digicel_turks_and_caicos_islands,Digicel,,,system
zain_jo_jordan,zain JO,HLR BARRING,Bilateral,system
orange_jordan,Orange,100,Orange Hub,system
umniah_jordan,Umniah,HLR BARRING,Bilateral,system
ntt_docomo_japan,NTT docomo,10,Bilateral,system
softbank_japan,SoftBank,90,Bilateral,system
au_japan,au,,,system
ipko_kosovo,IPKO,,,system
tele2.kz_kazakhstan,Tele2.kz,HLR BARRING,Bilateral,system
beeline_kazakhstan,Beeline,100,Comfone,system
kcell_kazakhstan,Kcell,HLR BARRING,Bilateral,system
yu_kenya,yu,,,system
airtel_kenya,Airtel,,,system
safaricom_kenya,Safaricom,,,system
telkom_kenya,Telkom,,,system
beeline_kyrgyzstan,Beeline,,,system
qb_cambodia,qb,,,system
cellcard_cambodia,Cellcard,,,system
metfone_cambodia,Metfone,,,system
kiribati_-_ath_kiribati,Kiribati - ATH,,,system
flow_saint_kitts_and_nevis,FLOW,,,system
olleh_south_korea,olleh,HLR BARRING,Bilateral,system
lg_u+_south_korea,LG U+,,,system
sktelecom_south_korea,SKTelecom,100,Bilateral,system
