Country,Operator,Ownership,MCCMNC,2G,GPRS/3G,4G,Notes,OperatorId
Malawi,G-Mobile,"Globally Advanced Integrated Networks,[92] Beryl (South Africa)",,X,,,license revoked [91],malawi_g-mobile
Malawi,Lacell,La Cell Private Limited[93],,X,,,,malawi_lacell
Malawi,G-Expresso,Expresso Telecom Group Limited[93],,X,,,,malawi_g-expresso
Mali,Orange[96],Orange S.A. 52.2%,,X,X,,,mali_orange[96]
Mali,Moov Africa Malitel[97],"Maroc Telecom 51%, local investors 20%, government 19%, staff 10%[98]",,X,X,,,mali_moov_africa_malitel[97]
Mali,Planor,Planor (support of Monaco Telecom),,X,,,,mali_planor
Mauritania,Moov Mauritel,Maroc Telecom (51.5%),,X,X,X,,mauritania_moov_mauritel
Mauritania,Chinguitel,Sudatel (60%),,X,X,,,mauritania_chinguitel
Mauritania,MATTEL,"Tunisie Telecom (51%), Mauritanian Investors (49%)",,X,X,X,,mauritania_mattel
Mauritius,Mauritius Telecom,Orange S.A. (40%)| Government of Mauritius (33.49%)| SBM Investments Managers Ltd	(19%)| National Pensions Fund (6.55%)| Employees of Mauritius Telecom (0.96%),,X,X,X,,mauritius_mauritius_telecom
Mauritius,Emtel,Currimjee,,X,X,X,,mauritius_emtel
Mauritius,CHiLi,Mahanagar Telephone Mauritius Limited (MTML),,X,X,,,mauritius_chili
Morocco,Maroc Telecom,"Etisalat (53%), Government Morocco (22%)",,X,X,X,,morocco_maroc_telecom
Morocco,Orange Morocco,"Orange S.A. (49%), FinanceCom+CDG (51%)",,X,X,X,,morocco_orange_morocco
Morocco,inwi,Zain Group (31%),,X,X,X,,morocco_inwi
Mozambique,Tmcel,Partially state-owned,,X,X,,,mozambique_tmcel
Mozambique,Vodacom,Vodacom (85%),,X,X,,,mozambique_vodacom
Mozambique,Movitel,"Viettel (70%), SPI (30%)[106]",,X,,,,mozambique_movitel
Namibia,MTC[109],Namibia Post and Telecommunications Holdings (66%)  Portugal Telecom (34%),,X,X,X,,namibia_mtc[109]
Namibia,TN Mobile[110],Telecom Namibia Ltd.,,X,X,X,"formerly Cell One, Leo",namibia_tn_mobile[110]
Niger,Airtel,Bharti Airtel,,X,,,,niger_airtel
Niger,Niger Telecoms,"Sahel-Com, Lap Green overtaken by government[111]",,X,,,,niger_niger_telecoms
Niger,Zamani Telecom,Zamani Com,,X,X,,,niger_zamani_telecom
Niger,Moov Africa Niger,Maroc Telecom,,X,,,,niger_moov_africa_niger
Nigeria,MTN,MTN (41.5%),,X,X,X,,nigeria_mtn
Nigeria,Airtel,Bharti Airtel (20.6%),,X,X,X,formerly Zain,nigeria_airtel
Nigeria,Glo Mobile,Globacom (20.78%),,X,X,X,,nigeria_glo_mobile
Nigeria,9mobile,"Etisalat, Mubadala, Nigerian Investors (15.60%)",,X,X,X,formerly Etisalat,nigeria_9mobile
Oman,Omantel,Omantel (99%),,X,X,X,,oman_omantel
Oman,Ooredoo,Ooredoo (55%),,X,X,X,formerly Nawras,oman_ooredoo
Palestine,Jawwal,Paltel,,X,X,,,palestine_jawwal
Palestine,Ooredoo,"Ooredoo (57%), Palestine Investment Fund (43%)",,X,X,,,palestine_ooredoo
