Country,Operator,Ownership,MCCMNC,2G,GPRS/3G,4G,Notes,OperatorId
Montenegro,One Montenegro,4iG[5],29701,X,X,X,,montenegro_one_montenegro
Netherlands,Odido,"WP/AP Telecom Holdings IV B.V. (Warburg Pincus 50%, Apax Partners 50%)",20416 and 20402,,X,X,"formerly T-Mobile, Ben | • Includes the previous Tele2 and Orange networks.",netherlands_odido
Netherlands,KPN,Koninklijke KPN,20408,X,,X,O2 Netherlands | • Includes the previous Telfort network.,netherlands_kpn
Netherlands,Vodafone,"VodafoneZiggo (Vodafone Group 50%, Liberty Global 50%)",20404,X,,X,formerly Libertel,netherlands_vodafone
North Macedonia,Telekom,Magyar Telekom (51.00%) (Stone Bridge Communications),29401,X,X,X,"formerly T-Mobile, MOBIMAK",north macedonia_telekom
North Macedonia,A1,A1 Group,29403,X,X,X,"formerly one, Vip, Cosmofon",north macedonia_a1
Norway,Telenor,Telenor Government of Norway (54%),24201,X,,X,,norway_telenor
Norway,Telia,Telia Company,24202,X,,X,formerly NetCom | • Includes the previous Tele2 network.,norway_telia
Norway,Ice,Lyse AS[115],"24214, 24206",,,X,formerly Ice.net,norway_ice
Poland,Orange,"Orange S.A. (50.67%), free float (49.33%)",26003,X,X,X,formerly Idea,poland_orange
Poland,Play,Iliad S.A.,26006,X,X,X,,poland_play
Poland,Plus,Grupa Polsat Plus,26001,X,X,X,formerly Plus GSM,poland_plus
Poland,T-Mobile,Deutsche Telekom AG,26002,X,,X,formerly Era,poland_t-mobile
Portugal,NOS,NOS,26803,X,X,X,formerly Optimus,portugal_nos
Portugal,MEO,Altice,26806,X,X,X,formerly TMN,portugal_meo
Portugal,Vodafone,Vodafone Group plc,26801,X,X,X,formerly Telecel,portugal_vodafone
Portugal,DIGI,Digi Communications N.V.,26802,,,,New Network,portugal_digi
Romania,Orange,Orange S.A.,22610,X,X,X,,romania_orange
Romania,Digi,Digi Communications N.V.,22605,X,,X,,romania_digi
Romania,Vodafone,Vodafone Group plc,22601,X,X,X,,romania_vodafone
Romania,Telekom,OTE (Deutsche Telekom AG 54.5%),22603,X,,X,"formerly Cosmorom, Cosmote",romania_telekom
Russia,MTS,"PJSC Sistema (42.09%), PJSC MTS (1.93%), free float (50.03%)[123]",25001,X,X,X,,russia_mts
Russia,MegaFon,"OOO USM Holdings (50%), OOO AF Telecom Holdings (50%)[125]",25002,X,X,X,,russia_megafon
Russia,t2,PJSC Rostelecom,25020,X,X,X,,russia_t2
Russia,Beeline,PJSC VimpelCom,25099,X,X,X,,russia_beeline
Russia,MOTIV,OOO EKATERINBURG-2000,25035,X,,X," | Coverage: Sverdlovsk, Kurgan, Khanty-Mansi, Yamalo-Nenets",russia_motiv
Russia,Tattelecom,PJSC Tattelecom,25027,X,,X, | Coverage: Tatarstan,russia_tattelecom
Russia,Phoenix,"SUE DPR ""ROS""",25097,X,X,X, | Coverage: Donetsk,russia_phoenix
Russia,MKS,OOO MKS,25098,X,X,X, | Coverage: Luhansk,russia_mks
Russia,K-Telecom,OOO K-Telecom,"25032, 25096",X,X,X," | Coverage: Crimea, Sevastopol, Luhansk, Donetsk, Zaporozhye, Kherson",russia_k-telecom
Russia,Miranda,OOO Miranda-Media,25054,X,X,X," | Coverage: Crimea, Sevastopol, Luhansk, Donetsk, Zaporozhye, Kherson",russia_miranda
Russia,Vainah Telecom,JSC Vainah Telecom,25008,X,,X, | Coverage: Chechnya,russia_vainah_telecom
San Marino,TIM San Marino,TIM,22201,X,X,X,,san marino_tim_san_marino
San Marino,Telefonia Mobile Sammarinese,Telecom Italia San Marino (51%),22201,X,X,X,,san marino_telefonia_mobile_sammarinese
San Marino,Prima,San Marino Telecom,29201,X,X,,,san marino_prima
Serbia,MTS,Telekom Srbija,22003,X,X,X,,serbia_mts
Serbia,Yettel,e& PPF Telecom Group,22001,X,X,X,,serbia_yettel
Serbia,A1,A1 Group,22005,X,X,X,,serbia_a1
Slovakia,Orange,Orange S.A.,"23101, 23105",X,,X,"formerly Globtel, Slovtel",slovakia_orange
Slovakia,O2,e& PPF Telecom Group,23106,X,X,X,"formerly Telefónica, O2 Telefónica",slovakia_o2
Slovakia,Telekom,Deutsche Telekom AG,"23102, 23104",X,,X,"formerly Eurotel, T-Mobile",slovakia_telekom
Slovakia,4ka,SWAN,23103,X,,X,SWAN,slovakia_4ka
Slovenia,Telekom Slovenije,Telekom Slovenije,29341,X,,X,formerly Mobitel,slovenia_telekom_slovenije
Slovenia,A1,A1 Group,29340,X,,X,formerly Si.mobil,slovenia_a1
