Country,Operator,Ownership,MCCMNC,2G,GPRS/3G,4G,Notes,OperatorId
New Zealand,Rocket Mobile,My Republic,,X,X,X,using One NZ,new zealand_rocket_mobile
New Zealand,Kiwi Mobile[124],Electric Kiwi,,,X,X,using 2degrees,new zealand_kiwi_mobile[124]
New Zealand,Contact Mobile,Contact Energy,,X,X,X,using One NZ,new zealand_contact_mobile
New Zealand,Mighty Mobile,Mighty Ape,,X,X,X,using One NZ,new zealand_mighty_mobile
Niue,Telecom Niue,Telecom Niue,,X,,X,,niue_telecom_niue
Norfolk Island,Norfolk Telecom,Norfolk Telecom,,,X,X,,norfolk island_norfolk_telecom
North Korea,Koryolink,Global Telecom Holding S.A.E. (75%) Korea Post and Telecommunications Corporation (25%),,,X,,,north korea_koryolink
North Korea,Kangsong NET,Ministry of Information Industry,,,X,X,,north korea_kangsong_net
Northern Mariana Islands,Docomo Pacific,NTT Docomo,,X,X,X,,northern mariana islands_docomo_pacific
Northern Mariana Islands,IT&E,IT&E Overseas Inc,,X,X,X,,northern mariana islands_it&e
Pakistan,Jazz,VEON Ltd. (100%),,,,X,PMCL - Pakistan Mobile Communications Limited,pakistan_jazz
Pakistan,Zong,China Mobile Limited (100%),,,,X,CMPak Limited,pakistan_zong
Pakistan,Telenor Pakistan,Telenor ASA (100%),,,,X,,pakistan_telenor_pakistan
Pakistan,Ufone,Government of Pakistan (62%) Etisalat by e& (26%) General public (12%),,,,X,PTML - Pak Telecommunication Mobile Limited,pakistan_ufone
Pakistan,Onic[133],Ufone,,,,X,Ufone MVNO,pakistan_onic[133]
Pakistan,ROX[134],Jazz,,,,X,Jazz MVNO,pakistan_rox[134]
Palau,PalauCel,Palau National Communications Corporation (PNCC),,,X,X,,palau_palaucel
Papua New Guinea,Digicel,Digicel,,X,X,X,,papua new guinea_digicel
Papua New Guinea,BMobile,Pacific Mobile Communications,,X,X,,,papua new guinea_bmobile
Papua New Guinea,Telikom PNG,Telikom (PNG) LTD,,X,,X,,papua new guinea_telikom_png
Philippines,Smart Communications,PLDT (NTT docomo),,X,X,X,,philippines_smart_communications
Philippines,Globe Telecom,"Ayala Corporation (13.20%) Singtel (20.10%) Asiacom Philippines, Inc. (50.85%) Directors, Officers, ESOP (0.19%) Public Stock (15.66%)",,X,X,X,,philippines_globe_telecom
Philippines,Dito Telecommunity,Dito CME Holdings Corporation (60%) China Telecommunications Corporation (40%),,,,X,,philippines_dito_telecommunity
Philippines,Now Telecom,Now Corporation (30%),,,,,,philippines_now_telecom
Philippines,TNT,Smart Communications,,,,X,using Smart,philippines_tnt
Philippines,TM,Globe Telecom,,,,X,using Globe,philippines_tm
Philippines,GOMO,Globe Telecom,,,,,using Globe,philippines_gomo
Samoa,Vodafone Samoa,,,X,,X,formerly Bluesky Samoa,samoa_vodafone_samoa
Samoa,Digicel,Digicel,,X,X,X,,samoa_digicel
Singapore,Singtel Mobile with digital sub-brands GOMO and heya,Temasek Holdings,,,,X,,singapore_singtel_mobile_with_digital_sub-brands_gomo_and_heya
Singapore,StarHub with digital sub-brands giga! and eight telecom,ST Telemedia Ooredoo NTT docomo,,,,X,,singapore_starhub_with_digital_sub-brands_giga!_and_eight_telecom
Singapore,M1 with a digital sub-brand Maxx,Keppel Corporation SPH,,,,X,,singapore_m1_with_a_digital_sub-brand_maxx
Singapore,SIMBA,TUAS Limited,,,,X,formerly TPG Mobile,singapore_simba
Singapore,GRID Communications,GRID Communications Pte Ltd,,,,,,singapore_grid_communications
Singapore,Mobile virtual network operators,Mobile virtual network operators,,,,,,singapore_mobile_virtual_network_operators
Singapore,Circles.Life,Liberty Wireless Pte Ltd,,,,X,Using M1,singapore_circles.life
Singapore,Zero1,Zero1,,,,X,Using Singtel,singapore_zero1
Singapore,MyRepublic,MyRepublic[150],,,,X,Using StarHub for its 5G plans; Using M1 for its 4G plans,singapore_myrepublic
Singapore,redONE,Redtone International,,,,X,Using StarHub,singapore_redone
Singapore,VIVIFI,ICYMI Pte Ltd,,,,X,Using Singtel,singapore_vivifi
Singapore,Geenet Mobile,Geenet Pte Ltd,,,,X,Using M1,singapore_geenet_mobile
Singapore,China Mobile CMLink SG,China Mobile International,,,,X,Using Singtel,singapore_china_mobile_cmlink_sg
Singapore,Changi Mobile,Changi Recommends,,,,X,Using M1,singapore_changi_mobile
Singapore,ZYM Mobile,mDR Limited,,,,X,Using Singtel,singapore_zym_mobile
Singapore,China Unicom CUniq SG,China Unicom (Singapore) Operations,,,,X,Using StarHub,singapore_china_unicom_cuniq_sg
Solomon Islands,Our Telekom,Solomon Telekom Company Limited,,X,X,X,,solomon islands_our_telekom
South Korea,SK Telecom,SK Group,,,X,X,,south korea_sk_telecom
South Korea,LG U+,LG Corporation (37%),,,,X,formerly LG Telecom,south korea_lg_u+
South Korea,KT,KT Corporation,,,X,X,"formerly olleh, KTF",south korea_kt
Sri Lanka,Dialog,Axiata Group Berhad (73.75%)  Bharti Airtel Limited (10.36%) [166],,,,, | •Includes the Airtel sub-brand.[158],sri lanka_dialog
Sri Lanka,SLTMobitel,Sri Lanka Telecom PLC (100%),,,,,Formerly Mobitel,sri lanka_sltmobitel
Sri Lanka,Hutch,CK Hutchison Holdings Limited (85%)[170] Emirates Telecommunication Group Company PJSC (15%),,,,, | •Includes the previous Etisalat network.[170],sri lanka_hutch
Taiwan,Chunghwa Telecom 中華電信,Republic of China Ministry of Transportation and Communications (35.29%),,,,X,,taiwan_chunghwa_telecom_中華電信
Taiwan,Taiwan Mobile 台灣大哥大,Fubon Group,,,,X,,taiwan_taiwan_mobile_台灣大哥大
Taiwan,Far EasTone 遠傳電信,Far Eastern Group,,,,X,,taiwan_far_eastone_遠傳電信
Taiwan,Mobile virtual network operators,Mobile virtual network operators,,,,,,taiwan_mobile_virtual_network_operators
Taiwan,Line Mobile,LINE Corporation,,,,X,Using Chunghwa Telecom,taiwan_line_mobile
Taiwan,Ibon Mobile,7-Eleven,,,,X,Using FarEasTone,taiwan_ibon_mobile
Tajikistan,Tcell,Aga Khan Fund for Economic Development (100%)[179],,X,X,X,,tajikistan_tcell
Tajikistan,Babilon-Mobile,,,X,X,X,,tajikistan_babilon-mobile
Tajikistan,ZET Mobile,ZET Mobile Ltd. (100%)[182],,X,X,,Formerly Beeline,tajikistan_zet_mobile
Tajikistan,MegaFon,MegaFon (75%),,X,X,,,tajikistan_megafon
Thailand,True,Major shareholders: Charoen Pokphand (20.95%) Telenor (20.95.1%) Thai NVDR (10.02%) China Mobile (7.81%),,X,X,X,with a digital sub-brand FINN Mobile | • Includes Truemove-H and dtac,thailand_true
Thailand,AIS or Advanced Info Service,Intouch Holdings,,X,X,X,,thailand_ais_or_advanced_info_service
Thailand,my by NT,CAT Telecom,,,X,X,,thailand_my_by_nt
Thailand,NT Mobile,TOT Public Company Limited,,,X,X,formerly TOT Mobile,thailand_nt_mobile
Thailand,IEC3G Buzzme,Mobile 8 Telco Sdn Bhd.,,,X,,Host operator TOT,thailand_iec3g_buzzme
Thailand,i-Kool 3G,Loxley Public Company Limited.,,,X,,Host operator TOT,thailand_i-kool_3g
Thailand,MyWorld 3G,"Data CDMA Communication Co., Ltd.",,,X,,Host operator CAT,thailand_myworld_3g
Thailand,Penguin,The WhiteSpace Co.Ltd.,,,X,,Host operator CAT & TOT,thailand_penguin
Thailand,OPEN SIM i-mobile,Samart Corporation Public Company Limited.,,,X,,Host operator CAT,thailand_open_sim_i-mobile
Thailand,imobile-3GX,Samart Corporation Public Company Limited.,,,X,,Host operator CAT,thailand_imobile-3gx
Thailand,168,168 Communication Co Ltd.,,,X,,Host operator CAT,thailand_168
Thailand,Mojo 3G,"MConzult Asia Co., Ltd.",,,X,,Host operator TOT,thailand_mojo_3g
Thailand,Tune Talk,"Loxley Public Company Limited (50%) Tune Group Sdn Bhd (10%) Thai AirAsia Co., Ltd. (40%)",,,X,,Host operator TOT,thailand_tune_talk
Thailand,Feels,"Feels Telecom Corporation Co., Ltd.",,,X,X,Host operator TOT,thailand_feels
Thailand,AJ SIM,AJ Advance Technology Pcl.,,,X,X,Host operator TOT,thailand_aj_sim
Thailand,Redone),"Red One Network (Thailand) Co., Ltd",,,X,X,Host operator NT Mobile (formerly TOT Mobile,thailand_redone)
Timor-Leste,Telemor,Viettel,,X,X,X,,timor-leste_telemor
Timor-Leste,Timor Telecom,Timor Telecom,,X,X,X,,timor-leste_timor_telecom
Timor-Leste,Telkomcel,Telekomunikasi Indonesia International (TL) S.A.,,X,X,X,,timor-leste_telkomcel
Tonga,Digicel,Digicel Group Ltd,,X,,X,,tonga_digicel
Tonga,TCC,Tonga Government,,X,X,,,tonga_tcc
Tonga,Wantok,Tonga Government,,X,X,,,tonga_wantok
Turkmenistan,TM CELL,TM CELL,,X,X,X,Altyn Asyr,turkmenistan_tm_cell
Turkmenistan,AȘTU,Ashgabat City Telephone Network,,X,,,,turkmenistan_aștu
Tuvalu,TTC,TTC,,X,,X,,tuvalu_ttc
Uzbekistan,UCell,State Competition Committee of Uzbekistan,,X,X,X,Formerly Coscom,uzbekistan_ucell
