Country,Operator,Ownership,MCCMNC,2G,GPRS/3G,4G,Notes,OperatorId
Guyana,gtt[108],Guyana Telephone and Telegraph Company,,X,,,,guyana_gtt[108]
Haiti,Digicel,Digicel,,X,X,,,haiti_digicel
Haiti,NATCOM[110],60% owned by Viettel Mobile and 40% by the Haitian State[112],,X,X,X,,haiti_natcom[110]
Honduras,Tigo,Millicom (Altas Investissement (NJJ) 41.9%)[115](66.7%)[116],,X,X,X,,honduras_tigo
Honduras,Claro,América Móvil (100%)[5],,X,X,X,,honduras_claro
Honduras,HONDUTEL,HONDUTEL,,X,,,,honduras_hondutel
Jamaica,Digicel,Digicel,,X,X,X,,jamaica_digicel
Jamaica,FLOW,Liberty Latin America[2] (82%)[14],,,X,X,,jamaica_flow
Mexico,Telcel,América Móvil (100%)[5],,X,X,X,,mexico_telcel
Mexico,Movistar,Telefónica (100%)[6][121][122][123],,,X,X,,mexico_movistar
Mexico,AT&T Mexico,AT&T Inc.,,,X,X,Includes Unefón,mexico_at&t_mexico
Mexico,Red Compartida,ALTÁN Redes,,,,X,Shared network available for MVNOs,mexico_red_compartida
Mexico,Virgin Mobile,Virgin Mobile,,X,X,X,using Movistar,mexico_virgin_mobile
Mexico,QBO Cel,Canaliza Software[127],,X,X,,using Movistar,mexico_qbo_cel
Mexico,weex,Truu Innovation[128],,X,X,X,using Movistar,mexico_weex
Mexico,Cierto,Teligentia[130],,X,X,,using Movistar,mexico_cierto
Mexico,Maz Tiempo,Maz Tiempo[131],,X,X,,using Movistar,mexico_maz_tiempo
Mexico,Oui Móvil,Telecomunicaciones 360[132],,X,X,X,using Telcel,mexico_oui_móvil
Mexico,Flash Mobile,Logística ACN México[133],,X,X,X,using Movistar,mexico_flash_mobile
Montserrat,FLOW,Liberty Latin America[2],,X,X,,,montserrat_flow
Montserrat,Digicel,Digicel Group,,X,X,X,,montserrat_digicel
Nicaragua,Claro,América Móvil (99.6%)[5],,X,X,X,formerly Enitel,nicaragua_claro
Nicaragua,Tigo,Millicom (Altas Investissement (NJJ) 29.1%)[136],,X,X,X,,nicaragua_tigo
Panama,+móvil,Cable & Wireless (49%)[14],,X,X,X,,panama_+móvil
Panama,Tigo,Millicom (Altas Investissement (iliad) 40.2%)[138][139],,X,X,X,,panama_tigo
Paraguay,Tigo,Millicom (Atlas Investissement (iliad S.A.) 29.1%)[142](100%)[143],,X,X,X,,paraguay_tigo
Paraguay,Personal,ABC Color and Telecom Argentina,,X,X,X,,paraguay_personal
Paraguay,Claro,América Móvil (100%)[5],,X,X,X,,paraguay_claro
Paraguay,VOX [es],COPACO S.A.[144],,X,X,X,,paraguay_vox [es]
Peru,Movistar,Telefónica (99.3%)[61],,X,X,X,,peru_movistar
Peru,Claro,América Móvil (100%)[5],,X,X,X,Formerly TIM,peru_claro
Peru,Entel,Entel (Chile),,,X,X,Formerly Nextel,peru_entel
Peru,Bitel [es],Viettel Mobile,,,X,X,Formerly Viettel Peru S.A.C.,peru_bitel [es]
Peru,ASU MOBILE,UNION TELECOMl (100%)[5],,X,X,X,Formerly TIM,peru_asu_mobile
Peru,UNION TELECOM,UNION TELECOM (100%)[5],,X,X,X,Formerly TIM,peru_union_telecom
Peru,Cuy Móvil [es],Cuy Móvil [es],,,,,using Claro,peru_cuy_móvil [es]
Puerto Rico and United States Virgin Islands,Liberty[2],Liberty Latin America[2],,,X,X,formerly AT&T,puerto rico and united states virgin islands_liberty[2]
Puerto Rico and United States Virgin Islands,Claro,América Móvil (100%)[5],,X,X,X,,puerto rico and united states virgin islands_claro
Puerto Rico and United States Virgin Islands,T-Mobile,Deutsche Telekom AG (43%) SoftBank Group Corporation (24%) free float (33%),,,,,"GPRS, EDGE | •Includes Metro by T-Mobile •Includes the previous Sprint network Includes the next Orange by T Mobile CDMA2000 1xRTT, EV-DO Rev 0, Rev A GSM-1900 AWS UMTS, HSDPA, HSUPA, HSPA, HSPA+ 600/700/1700/1900 MHz LTE, LTE-A 600/2500 MHz 5G NR",puerto rico and united states virgin islands_t-mobile
Puerto Rico and United States Virgin Islands,Mobile virtual network operators,Mobile virtual network operators,,,,,,puerto rico and united states virgin islands_mobile_virtual_network_operators
Puerto Rico and United States Virgin Islands,TracFone Wireless,Verizon (100%),,X,X,,,puerto rico and united states virgin islands_tracfone_wireless
Saint Kitts and Nevis,FLOW,Liberty Latin America[2],,X,X,X,,saint kitts and nevis_flow
Saint Kitts and Nevis,Digicel,Digicel,,X,X,,,saint kitts and nevis_digicel
Saint Lucia,FLOW,Liberty Global,,X,X,X,,saint lucia_flow
Saint Lucia,Digicel,Digicel (91.02%)[19],,X,X,,,saint lucia_digicel
Saint Lucia,NTRC,,,X,X,X,,saint lucia_ntrc
Saint Lucia,SLICTA,,,X,X,X,,saint lucia_slicta
