<mgsvp;
ORDERED
<

ACT     MSCBC2                    AD-288  TIME 250306 1324  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-331912290197028         12         12
4-447953700206            15         14
4-66923013522              3          1
4-447802002261             2          2
4-358508771123             6          6
4-33191905420194           1          1
4-916289015348             7          5
4-79167494202              1          1
4-919021019361             8          6
4-19039326986              3          3
4-919845286068             6          5
4-84900100                 1          1
4-8613426340000            3          3
4-3319120120440            4          4
4-8190542116874            1          1
4-905590000202             2          2
4-79167494227              2          2
4-33609009912             38         31
4-447782000112             1          0
4-62816081412              1          1
4-2348020004555            2          1
4-33609009903             26         15
4-491760003003             8          8
4-19703769843             51         28
4-8613467420000            2          2
4-33191491720125           3          3
4-38977000270              2          2
4-994700010120             4          1
4-393358840763002          1          0
4-331912626920007          2          2
4-37491000965              1          1
4-447953700258             3          2
4-4528133316               1          1
4-79012275192              6          6
4-46707000274              1          1
4-447953700237             3          3
4-491700600147             4          3
4-48601000064              2          2
4-639180009010             3          1
4-639180009002             2          1
4-358402001001             4          2
4-8618516404524            2          1
4-861851340000             2          2
4-639180008994             2          1
4-33191485010109           7          7
4-3319160160029            1          1
4-861395810000             4          4
4-261340010207             3          0
4-919810051031            12         10
4-79167494107              1          1
4-3319136700040            9          9
4-48602003041              4          2
4-905590000236             2          1
4-19039326900              8          4
4-12404492436              2          1
4-46705003206              5          4
4-8614735630000            1          1
4-882285000001100          4          0
4-79167494221              2          2
4-218919121253             4          4
4-33191393490278           9          9
4-491760003001             6          5
4-201059968077             2          1
4-66923011551              2          1
4-79167494220              4          4
4-8615100740000            2          0
4-861565485001             1          0
4-30971460009              2          2
4-385910930                5          4
4-79639741151              1          1
4-2348020004557            1          1
4-917011075029             2          1
4-79167494186              2          2
4-447782000221             1          0
4-79167494184              1          1
4-447782000244             2          0
4-4528133312               1          1
4-639180008987             4          2
4-8615827670000            2          2
4-919815053740             6          5
4-33191485010102           9          6
4-447797707075             2          0
4-79167494226              1          1
4-30971460010              2          2
4-64277435103              2          2
4-33191443850194           1          1
4-989110006                1          1
4-3725098026               2          1
4-919898092806             5          3
4-79639741152              1          1
4-861856834003             1          1
4-639180008990             3          2
4-201059968070             5          4
4-861564641000             1          1
4-2694000105              10          7
4-420733087401             2          0
4-33191443850195           2          2
4-8618516404522            2          0
4-79270009045              8          8
4-12085978679              2          1
4-237694000000             1          1
4-79289900080              4          3
4-33191346560172          13         10
4-861854918000             2          1
4-79167494205              2          2
4-33191491720344          10          9
4-14054729321              2          0
4-8190542116881            1          1
4-3319120120508            2          2
4-66923014503              1          1
4-3319120120445            4          4
4-93791010102              1          0
4-882285000001102          1          0
4-491700600143             3          2
4-14054729344              1          0
4-639180009003             2          0
4-447953700256             1          1
4-14044559163              1          1
4-861565484915             1          1
4-14054729209              1          1
4-3859812010               1          1
4-33191962770199           5          4
4-8613759610000            2          2
4-46707000410              3          1
4-33191316540398           2          2
4-8618421180000            1          1
4-447782000226             1          0
4-66923013502              3          3
4-8190542114880            1          1
4-30971460017              2          1
4-3319160160030            5          4
4-66923016524              2          2
4-3319120120441            2          2
4-244920002108             1          1
4-447953700259             2          2
4-8613870840000            5          5
4-639180009020             3          1
4-491700600158             4          3
4-8618471670000            1          1
4-40770000028              6          5
4-22890600000              1          1
4-491700600310             1          0
4-882285000001109          2          0
4-79167494203              1          1
4-331911514420008          2          2
4-4367603032000            2          1
4-8619882390000            1          1
4-491760003023             7          6
4-819066519770             1          1
4-3319120120446            6          5
4-31624000287              4          4
4-491700600314             3          2
4-861300013102             2          2
4-358447981103             2          2
4-421903002025             2          2
4-13603399657              2          2
4-447782000243             1          1
4-61415011015              2          0
4-491700600141             8          8
4-13603399656              7          5
4-30971460018              5          4
4-436760182231             1          1
4-201059968084             6          6
4-33191316540140           1          1
4-447782000111             2          1
4-33191316540327           4          3
4-97333810271              3          2
4-420733087400             1          0
4-447782000245             2          0
4-8614756540000            1          0
4-8190542119852            2          2
4-46735487100              7          5
4-436760182225             3          1
4-46705003201              4          3
4-48601000066              1          0
4-905590000224             2          2
4-639180009018             2          0
4-33191316540164           2          2
4-639180009015             3          1
4-905590000222             2          1
4-639180008985             2          0
4-861854896000             1          1
4-3319120120511            3          3
4-861325477801             1          1
4-639180009013             2          1
4-447953700218             3          2
4-861325477829             1          1
4-491700600149             2          2
4-861958454000             1          1
4-905590000237             1          1
4-447782000114             2          1
4-79012321192              1          1
4-201059968201             4          3
4-447802002732             7          7
4-3859812011               1          0
4-491700600125             2          2
4-31624000283              5          4
4-79529480192              2          0
4-37068499230              4          3
4-447802002748             5          5
4-201059968204             3          3
4-5691600207               1          0
4-436990071296             2          2
4-3319120120448            4          4
4-16363848770              1          1
4-861866200057             1          0
4-919823000177             1          1
4-352061000240             3          2
4-218929999930             2          2
4-8614796910000            1          0
4-33191316540334           1          0
4-491700600123             4          4
4-8618516404527            1          0
4-27812022225              1          1
4-14047259019              1          1
4-33191485010437           2          2
4-358508771122             2          1
4-46723900010              1          1
4-12404492442              2          2
4-8613460340000            1          1
4-352061000220             2          2
4-491700600313             3          2
4-550023102005             1          1
4-8613521740000            2          1
4-3319120120521            2          2
4-882285000001101          2          1
4-971550930006             2          2
4-8617842050000            1          1
4-491700600153             3          2
4-882285000001106          1          0
4-447802002264             2          2
4-19039326946              1          1
4-8614735730000            1          1
4-9779800000054            1          1
4-14054729322              1          1
4-12404492440              2          2
4-37129201245              3          2
4-861326404000             1          0
4-447953700213             8          5
4-4528132000               1          1
4-3319127820090            1          1
4-447782000223             2          2
4-447953700228             4          2
4-2203005292               1          1
4-919823000691             1          1
4-639180009016             1          1
4-491700600130             2          2
4-8613479640000            2          2
4-4528133318               2          2
4-8618482650000            1          1
4-8613812340000            1          1
4-447782000227             4          2
4-447782000224             2          1
4-447797707076             2          0
4-8613748602               1          1
4-8614796670000            1          1
4-4531307401               1          1
4-447953700224             1          1
4-905590000242             2          2
4-550101102069             1          1
4-8618402400000            1          1
4-436760182224             3          1
4-316530870010             1          1
4-447953700236             3          2
4-447953700257             3          3
4-79101399983              3          3
4-883130000008321          1          1
4-201059968079             3          2
4-331912547700002          1          0
4-351923300026             3          1
4-861300020103             1          1
4-639180009000             4          0
4-33191374950021           1          1
4-66923011531              3          2
4-393358840745811          1          0
4-447953700252             2          2
4-8618516404523            1          0
4-4528133317               1          1
4-201059968075             1          0
4-447953700246             1          1
4-68987109999              1          0
4-33191491720131           2          2
4-447953700235             2          2
4-861476743000             5          2
4-8615654930               3          3
4-351960995065             2          2
4-491700600124             3          2
4-8190542112850            1          1
4-8614778410000            1          1
4-79202906865              3          2
4-447782000115             2          1
4-96558859632              2          2
4-861375810000             3          3
4-4367603035000            3          3
4-447953700241             2          2
4-14047259008              1          1
4-919954000100             1          1
4-905590000241             3          3
4-491700600137             2          0
4-447953700247             5          5
4-491700600142             4          3
4-352061000250             1          1
4-96394107400              2          1
4-861324704000             2          2
4-447781002015             2          1
4-33191316540297           1          1
4-2348020004610            1          1
4-25377890008              1          1
4-861320015312             1          0
4-33689008252              1          1
4-62816081127              2          1
4-8618516404520            1          0
4-33191905420146           1          1
4-447953700245             1          1
4-447782000241             1          0
4-8615765840000            1          1
4-201059968087             2          1
4-491700600119             3          3
4-201059968203             3          2
4-46705003202              1          0
