prefix,country_alpha2,carrier_id,carrier_name,length
554798429,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798431,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798432,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798433,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798434,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798435,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798436,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798437,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798438,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798439,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798441,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798442,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798443,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798444,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798445,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798446,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798447,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798448,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798449,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798451,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798452,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798453,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798454,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798455,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798456,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554798457,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
5547988,BR,claro,Claro,11
554798900,BR,claro,Claro,11
554798901,BR,claro,Claro,11
5547991,BR,vivo,Vivo,11
55479920,BR,vivo,Vivo,11
55479921,BR,vivo,Vivo,11
55479922,BR,vivo,Vivo,11
55479923,BR,vivo,Vivo,11
554799240,BR,vivo,Vivo,11
554799241,BR,vivo,Vivo,11
554799242,BR,vivo,Vivo,11
554799243,BR,vivo,Vivo,11
554799244,BR,vivo,Vivo,11
554799245,BR,vivo,Vivo,11
554799246,BR,vivo,Vivo,11
554799601,BR,tim,TIM,11
554799602,BR,tim,TIM,11
554799603,BR,tim,TIM,11
554799604,BR,tim,TIM,11
554799605,BR,tim,TIM,11
554799606,BR,tim,TIM,11
554799607,BR,tim,TIM,11
554799608,BR,tim,TIM,11
554799609,BR,tim,TIM,11
554799611,BR,tim,TIM,11
554799612,BR,tim,TIM,11
554799613,BR,tim,TIM,11
554799614,BR,tim,TIM,11
554799615,BR,tim,TIM,11
554799616,BR,tim,TIM,11
554799617,BR,tim,TIM,11
554799618,BR,tim,TIM,11
554799619,BR,tim,TIM,11
554799621,BR,tim,TIM,11
554799622,BR,tim,TIM,11
554799623,BR,tim,TIM,11
554799624,BR,tim,TIM,11
554799625,BR,tim,TIM,11
554799626,BR,tim,TIM,11
554799627,BR,tim,TIM,11
554799628,BR,tim,TIM,11
554799629,BR,tim,TIM,11
554799631,BR,tim,TIM,11
554799632,BR,tim,TIM,11
554799633,BR,tim,TIM,11
554799634,BR,tim,TIM,11
554799635,BR,tim,TIM,11
554799636,BR,tim,TIM,11
554799637,BR,tim,TIM,11
554799638,BR,tim,TIM,11
554799651,BR,tim,TIM,11
554799652,BR,tim,TIM,11
554799653,BR,tim,TIM,11
554799654,BR,tim,TIM,11
554799655,BR,tim,TIM,11
554799656,BR,tim,TIM,11
554799657,BR,tim,TIM,11
554799658,BR,tim,TIM,11
554799901,BR,tim,TIM,11
554799902,BR,tim,TIM,11
554799903,BR,tim,TIM,11
554799904,BR,tim,TIM,11
554799905,BR,tim,TIM,11
554799906,BR,tim,TIM,11
554799907,BR,tim,TIM,11
554799909,BR,tim,TIM,11
554799911,BR,tim,TIM,11
554799912,BR,tim,TIM,11
554799913,BR,tim,TIM,11
554799914,BR,tim,TIM,11
554799915,BR,tim,TIM,11
554799916,BR,tim,TIM,11
554799917,BR,tim,TIM,11
554799918,BR,tim,TIM,11
554799919,BR,tim,TIM,11
554799921,BR,tim,TIM,11
554799922,BR,tim,TIM,11
554799923,BR,tim,TIM,11
554799924,BR,tim,TIM,11
554799925,BR,tim,TIM,11
554799926,BR,tim,TIM,11
554799927,BR,tim,TIM,11
554799928,BR,tim,TIM,11
554799929,BR,tim,TIM,11
554799931,BR,tim,TIM,11
554799932,BR,tim,TIM,11
554799933,BR,tim,TIM,11
554799934,BR,tim,TIM,11
554799935,BR,tim,TIM,11
554799936,BR,tim,TIM,11
554799937,BR,tim,TIM,11
554799938,BR,tim,TIM,11
554799939,BR,tim,TIM,11
554799941,BR,tim,TIM,11
554799942,BR,tim,TIM,11
554799943,BR,tim,TIM,11
554799944,BR,tim,TIM,11
554799945,BR,tim,TIM,11
